,_5,Penta,Triple,256GB 8GB RAM,Alarm,SIM,Stand-by_1,NFC,Dual,Browser,Camera,Build,Bluetooth,Radio,Protection,64GB 4GB RAM,Features_1,Colors,Quad,Features,Games,128GB 6GB RAM,Talk time,GPU,128GB 4GB RAM,Audio quality,Loudspeaker,64GB 3GB RAM,128MB 48MB RAM,Model Name,Dimensions,Messaging,4G bands,3G bands,Resolution,CPU,Battery (old),USB,Technology,Weight,OS,5G bands,4MB,Display,Alert types,Model Image,Performance,Models,_2,Chipset,Status,Java,Call records,Type,32GB 3GB RAM,_6,Internal,Speed,_4,SAR EU,_1,Price,Stand-by,Card slot,Video,Clock,SAR,Type_1,Announced,Brand,Phonebook,Talk time_1,Charging,WLAN,EDGE,_3,Keyboard,4GB 512MB RAM,Languages,GPRS,3.5mm jack,Single_1,Positioning,Single,Size,Music play,128MB 64MB RAM,Infrared port,Loudspeaker_1,Sensors,2G bands,Video_1
CDMA 800 & TD-SCDMA,,,,,,Nano-SIMNano-SIM + Nano-SIM,,Yes,"12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF13 MP, f/2.6, (telephoto), 1/3.4"", 1.0µm, AF, 2x optical zoom",,Photo/Video,"Glass front (Gorilla Glass 5), glass back (Gorilla Glass 5), stainless steel frame","5.0, A2DP, LE",No,Corning Gorilla Glass 5,,,Black,,"Zeiss optics, dual-LED dual-tone flash, panorama, HDR",,,Up to 22 h (3G),Adreno 540,,Noise -90.1dB / Crosstalk -88.7dB,Yes,,,Nokia 8 Sirocco,140.9 x 73 x 7.5 mm (5.55 x 2.87 x 0.30 in),,"1, 2, 3, 4, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41",HSDPA 850 / 900 / 1900 / 2100,"1440 x 2560 pixels, 16:9 ratio (~534 ppi density)",Octa-core (4x2.5 GHz Kryo & 4x1.8 GHz Kryo),Endurance rating 77h,USB Type-C 3.1,GSM / CDMA / HSPA / EVDO / LTE,177 g (6.24 oz),"Android 8.0 (Oreo), upgradable to Android 10, Android One",,,"Contrast ratio: Infinite (nominal), 3.745 (sunlight)",,https://fdn2.gsmarena.com/vv/bigpic/nokia-8-sirocco-.jpg,AnTuTu: 209577 (v7)GeekBench: 6725 (v4.4)GFXBench: 15fps (ES 3.1 onscreen),TA-1005,IP67 dust/water resistant (up to 1.5m for 30 min),Qualcomm MSM8998 Snapdragon 835 (10 nm),"Available. Released 2018, April 23",,,P-OLED,,,128GB 6GB RAM,"HSPA 42.2/5.76 Mbps, LTE (3CA) Cat12 600/150 Mbps",24-bit/192kHz Hi-Res audio,0.59 W/kg (head)     1.54 W/kg (body),CDMA2000 1xEV-DO,About 1010 EUR,Up to 495 h (3G),No,"4K@30fps, 1080p@30fps",,,"Li-Ion 3260 mAh, non-removable","2018, February 25",Nokia,,,"18W wired, QC4Wireless (Qi)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,Always-on display,,,,,No,,"GPS, GLONASS, BDS","5 MP, f/2.0, 1/4.0"", 1.4µm","5.5 inches, 83.4 cm2(~81.1% screen-to-body ratio)",Up to 11 h,,,Voice 83dB / Noise 76dB / Ring 80dB,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass, barometer",GSM 850 / 900 / 1800 / 1900,1080p@30fps
CDMA 800 & TD-SCDMA - China,,,,,,Nano-SIM + Nano-SIM,,Yes,"12 MP, f/1.8, 25mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF13 MP, f/2.6, (telephoto), 1/3.4"", 1.0µm, AF, 2x optical zoom",,Photo/Video,"Glass front (Gorilla Glass 3), aluminum back, aluminum frame (6000 series)","5.0, A2DP, LE",No,Corning Gorilla Glass 3,,Zeiss optics,"Black/Copper, White/Copper",,"Zeiss optics, dual-LED dual-tone flash, panorama, HDR",,,Up to 19 h (3G),Adreno 512,,Noise -38.8dB / Crosstalk -95.9dB,Yes,,,Nokia 7 plus,158.4 x 75.6 x 8 mm (6.24 x 2.98 x 0.31 in),,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - Global",HSDPA 850 / 900 / 1900 / 2100,"1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",Octa-core (4x2.2 GHz Kryo 260 Gold & 4x1.8 GHz Kryo 260 Silver),Endurance rating 87h,"USB Type-C 2.0, OTG",GSM / CDMA / HSPA / EVDO / LTE,183 g (6.46 oz),"Android 8.1 (Oreo), upgradable to Android 10, Android One",,,"Contrast ratio: 1701:1 (nominal), 3.479 (sunlight)",,https://fdn2.gsmarena.com/vv/bigpic/nokia-7-plus-.jpg,AnTuTu: 140820 (v7)GeekBench: 5893 (v4.4)GFXBench: 8.6fps (ES 3.1 onscreen),"TA-1041, TA-1062, TA-1046","1, 3, 4, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41 - China",Qualcomm SDM660 Snapdragon 660 (14 nm),"Available. Released 2018, April 30",,,IPS LCD,,,"64GB 4GB RAM, 64GB 6GB RAM","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,0.36 W/kg (head)     1.78 W/kg (body),CDMA2000 1xEV-DO - China,About 490 EUR,Up to 723 h (3G),microSDXC (uses shared SIM slot),"4K@30fps, 1080p@30fps (gyro-EIS)",,,"Li-Ion 3800 mAh, non-removable","2018, February 25",Nokia,,,18W wired,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,eMMC 5.1,,,,,Yes,,"GPS, GLONASS, BDS","16 MP, f/2.0, 1/3.06"", 1.0µm","6.0 inches, 92.4 cm2(~77.2% screen-to-body ratio)",Up to 126 h,,,Voice 67dB / Noise 71dB / Ring 79dB,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM 850 / 900 / 1800 / 1900,1080p@30fps
"CDMA2000 1xEV-DO - Hong Kong, Taiwan",,,,,,Nano-SIM + Nano-SIM,,Yes,,,Photo/Video,"Glass front (Gorilla Glass 3), aluminum back, aluminum frame (6000 series)","5.0, A2DP, LE",FM radio with RDS,Corning Gorilla Glass 3,,,"Black/Copper, White/Iron, Blue/Gold",,"Zeiss optics, dual-LED dual-tone flash, panorama, HDR",,,Up to 16 h (3G),Adreno 508,,Noise -37.5dB / Crosstalk -93.3dB,Yes,,,Nokia 6.1,148.8 x 75.8 x 8.2 mm (5.86 x 2.98 x 0.32 in),,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EMEA & APAC",HSDPA 850 / 900 / 1900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",Octa-core 2.2 GHz Cortex-A53,Endurance rating 76h,USB Type-C 2.0,GSM / HSPA / EVDO / LTE,172 g (6.07 oz),"Android 8.1 (Oreo), upgradable to Android 10, Android One",,,"Contrast ratio: 1278:1 (nominal), 4.052 (sunlight)",,https://fdn2.gsmarena.com/vv/bigpic/nokia-6-2018.jpg,AnTuTu: 90918 (v7)GeekBench: 4225 (v4.4)GFXBench: 6fps (ES 3.1 onscreen),"TA-1043, TA-1045, TA-1054, TA-1050, TA-1068","1, 3, 4, 5, 7, 8, 20, 28, 34, 38, 39, 40, 41 - Hong Kong, Taiwan",Qualcomm SDM630 Snapdragon 630 (14 nm),"Available. Released 2018, May 06",,,IPS LCD,,,"32GB 3GB RAM, 32GB 4GB RAM, 64GB 4GB RAM","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,0.94 W/kg (head)     1.82 W/kg (body),"2, 3, 4, 5, 7, 12, 17, 20, 28, 38 - LATAM",About 220 EUR,Up to 507 h (3G),microSDXC (uses shared SIM slot),"4K@30fps, 1080p@30fps",,,"Li-Ion 3000 mAh, non-removable","2018, January 05",Nokia,,,"18W wired, 50% in 30 min","Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct",,eMMC 5.1,,,,,Yes,"8 MP, f/2.0, 1/4.0"", 1.12µm","GPS, GLONASS, BDS","16 MP, f/2.0, 27mm (wide), 1.0µm, PDAF","5.5 inches, 82.6 cm2(~73.2% screen-to-body ratio)",Up to 119 h,,,Voice 67dB / Noise 74dB / Ring 85dB,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,1080p@30fps
GSM 900 / 1800 - India,eMMC 5.0,,,,,Nano-SIM + Micro-SIM,,No,,,,"Plastic front, plastic back, plastic frame","4.2, A2DP",FM radio,,,,"Warm Red, Dark Blue",,LED flash,,,Up to 9 h (3G),Mali-T720MP1,,,Yes,,,Nokia 1,133.6 x 67.8 x 9.5 mm (5.26 x 2.67 x 0.37 in),,"1, 3, 5, 7, 8, 20, 38, 40 - EMEA/APAC",HSDPA 850 / 900 / 2100 - EMEA/APAC,"480 x 854 pixels, 16:9 ratio (~218 ppi density)",Quad-core 1.1 GHz Cortex-A53,,microUSB 2.0,GSM / HSPA / LTE,131 g (4.62 oz),Android 8.1 Oreo (Go edition),,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-1-.jpg,,"TA-1047, TA-1060, TA-1056, TA-1079, TA-1066",HSDPA 900 / 2100 - India,Mediatek MT6737M (28 nm),"Available. Released 2018, April",,,IPS LCD,,Xpress-on back covers,8GB 1GB RAM,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","1, 3, 5, 40, 41 - India",0.72 W/kg (head)     1.68 W/kg (body),HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - LATAM,About 100 EUR,Up to 360 h (3G),microSDXC (uses shared SIM slot),480p,,,"Li-Ion 2150 mAh, removable","2018, February",Nokia,,,,Wi-Fi 802.11 b/g/n,,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40 - LATAM",,,,,Yes,2 MP,GPS,5 MP,"4.5 inches, 55.8 cm2(~61.6% screen-to-body ratio)",Up to 53 h,,,,"Accelerometer, proximity",GSM 850 / 900 / 1800 / 1900,
Flashlight,,,,,,Micro-SIM,,No,,,,"Glass front, plastic back, plastic frame","4.0, A2DP, LE",FM radio,,,,"Azure, Yellow, Warm Red, Charcoa",,LED flash,Yes,,Up to 8 h (3G),,,,Yes,,,Nokia 3310 4G,117 x 52.4 x 13.4 mm (4.61 x 2.06 x 0.53 in),SMS,"38, 39, 40, 41",HSDPA 850 / 900 / 1900 / 2100,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,microUSB 2.0,GSM / HSPA / LTE,88.1 g (3.10 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-3310-2017-4g.jpg,,,Audio/Video player,,"Available. Released 2018, February",No,Yes,TFT,,,512MB 256MB RAM,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,,No,About 100 EUR,Up to 360 h (3G),microSDXC (dedicated slot),Yes,,,"Li-Ion 1200 mAh, removable (BL-4UL)","2018, January",Nokia,Yes,,,Wi-Fi 802.11 b/g/n,,,,,,,Yes,,No,2 MP,"2.4 inches, 17.8 cm2(~29.1% screen-to-body ratio)",Up to 31 h,,,,,GSM 850 / 900 / 1800 / 1900,
eMMC 4.5,,,,,,Nano-SIMNano-SIM + Nano-SIM,,No,,,Photo,"Glass front (Gorilla Glass 3), plastic back, aluminum frame","4.1, A2DP, LE",FM radio with RDS,Corning Gorilla Glass 3,,,"Pewter/Black, Pewter/White, Copper/Black",,LED flash,,,Up to 19 h (3G),Adreno 304,,Noise -53.2dB / Crosstalk -96.2dB,Yes,,,Nokia 2,143.5 x 71.3 x 9.3 mm (5.65 x 2.81 x 0.37 in),,"1, 3, 5, 7, 8, 20, 28, 38, 40",HSDPA 850 / 900 / 1900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.3 GHz Cortex-A7,Endurance rating 109h,microUSB 2.0,GSM / HSPA / LTE,161 g (5.68 oz),"Android 7.1.1 (Nougat), upgradable to Android 8.1 (Oreo)",,,"Contrast ratio: 1227:1 (nominal), 2.752 (sunlight)",,https://fdn2.gsmarena.com/vv/bigpic/nokia2-.jpg,GeekBench: 1162 (v4.4),"TA-1029, TA-1035, TA-1007",,Qualcomm MSM8909v2 Snapdragon 212 (28 nm),"Available. Released 2017, November",,,IPS LCD,,,8GB 1GB RAM,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,0.29 W/kg (head)     1.53 W/kg (body),,About 110 EUR,Up to 1340 h (3G),microSDXC (dedicated slot),720p@30fps,,,"Li-Ion 4100 mAh, non-removable","2017, October",Nokia,,,,Wi-Fi 802.11 b/g/n,,,,,,,Yes,5 MP,"GPS, GLONASS, BDS","8 MP, AF","5.0 inches, 68.9 cm2(~67.4% screen-to-body ratio)",Up to 139 h,,,Voice 66dB / Noise 70dB / Ring 75dB,"Accelerometer, proximity, compass",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),720p@30fps
CDMA 800 & TD-SCDMA,,,,,,Nano-SIM + Nano-SIM,,Yes,,,,"Glass front (Gorilla Glass 3), glass back, aluminum frame (7000 series)","5.0, A2DP, LE",No,Corning Gorilla Glass 3,,,"Gloss Black, Matt White",,"Zeiss optics, dual-LED dual-tone flash, panorama, HDR",,,Up to 15 h (3G),Adreno 508,,,Yes,,,Nokia 7,141.2 x 71.5 x 7.9 mm (5.56 x 2.81 x 0.31 in),,"1, 3, 5, 8, 34, 38, 39, 40, 41",HSDPA 850 / 900 / 1900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Octa-core 2.2 GHz Cortex-A53,,"USB Type-C, OTG",GSM / CDMA / HSPA / EVDO / LTE,153 g (5.40 oz),"Android 7.1.1 (Nougat), upgradable to Android 9.0 (Pie)",,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-7-.jpg,,TA-1041,"IP54, dust and splash resistant",Qualcomm SDM630 Snapdragon 630 (14 nm),"Available. Released 2017, October",,,IPS LCD,,,"64GB 4GB RAM, 64GB 6GB RAM","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,CDMA2000 1xEV-DO,About 220 EUR,Up to 340 h (3G),microSDXC (uses shared SIM slot),"4K@30fps, 1080p@30fps",,,"Li-Ion 3000 mAh, non-removable","2017, October",Nokia,,,18W wired,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,,,,Yes,"5 MP, f/2.0, 1/4.0"", 1.4µm, AF","GPS, GLONASS, BDS","16 MP, f/1.8, 1.12µm, PDAF","5.2 inches, 74.5 cm2(~73.8% screen-to-body ratio)",Up to 85 h,,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,1080p@30fps
GSM 850 / 900 / 1800 / 1900 - Single SIM,,,,,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",Up to 576 h,No,,,,"Glass front, plastic back, plastic frame","2.1, A2DP",FM radio,,,,"Azure, Yellow, Warm Red, Charcoa",,LED flash,Yes,,Up to 6 h 30 min (3G),,,,Yes,,,Nokia 3310 3G,117 x 52.4 x 13.4 mm (4.61 x 2.06 x 0.53 in),SMS,,HSDPA 850 / 900 / 1900 / 2100 - Single SIM,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,microUSB 2.0,GSM / HSPA,88.2 (DS)/ 84.9 (SS) (3.10 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-3310-2017-1.jpg,,"TA-1022, TA-1006, TA-1036",Flashlight,,"Available. Released 2017, October",No,Yes,TFT,,,64MB,HSPA,Audio/Video player,0.82 W/kg (head)     1.57 W/kg (body),HSDPA 900 / 2100 - Dual SIM,About 70 EUR,Up to 648 h (3G),microSDHC (dedicated slot),288p,,,"Li-Ion 1200 mAh, removable (BL-4UL)","2017, September",Nokia,Yes,Up to 6 h 30 min,,No,,No,,,,,Yes,,No,2 MP,"2.4 inches, 17.8 cm2(~29.1% screen-to-body ratio)",Up to 40 h,,,,,GSM 900 / 1800 - SIM 1 & SIM 2 (dual-SIM model only),
"IP54, dust and splash resistant",,,,,,Nano-SIMNano-SIM + Nano-SIM,,Yes,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF, OIS13 MP B/W, f/2.0, 1.12µm, PDAF",,Photo/Video,"Glass front (Gorilla Glass 5), aluminum back, aluminum frame (6000 series)","5.0, A2DP, LE",No,Corning Gorilla Glass 5,,,"Tempered Blue, Polished Blue, Steel, Polished Copper",,"Laser AF, Zeiss optics, dual-LED dual-tone flash, HDR, panorama",,,,Adreno 540,,Noise -94.2dB / Crosstalk -88.5dB,Yes,,,Nokia 8,151.5 x 73.7 x 7.9 mm (5.96 x 2.90 x 0.31 in),,"1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 39, 40, 41",HSDPA 850 / 900 / 1900 / 2100,"1440 x 2560 pixels, 16:9 ratio (~554 ppi density)",Octa-core (4x2.5 GHz Kryo & 4x1.8 GHz Kryo),Endurance rating 78h,USB Type-C 3.1,GSM / HSPA / LTE,160 g (5.64 oz),"Android 7.1.1 (Nougat), upgradable to Android 9.0 (Pie)",,,"Contrast ratio: 1840:1 (nominal), 4.239 (sunlight)",,https://fdn2.gsmarena.com/vv/bigpic/nokia-8-.jpg,"AnTuTu: 210323 (v7), 242434 (v8)GeekBench: 6568 (v4.4), 1668 (v5.1)GFXBench: 12fps (ES 3.1 onscreen)","TA-1004, TA-1012, TA-1052",UFS 2.1,Qualcomm MSM8998 Snapdragon 835 (10 nm),"Available. Released 2017, September 07",,,IPS LCD,,,"64GB 4GB RAM, 128GB 6GB RAM","HSPA 42.2/5.76 Mbps, LTE (3CA) Cat9 450/50 Mbps",ANT+,0.22 W/kg (head)     1.33 W/kg (body),Always-on display,About 300 EUR,,microSDXC (uses shared SIM slot),"4K@30fps, 1080p@30fps",,,"Li-Ion 3090 mAh, non-removable","2017, August 16",Nokia,,,"18W wired, QC3","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,24-bit/192kHz audio,,,,,Yes,,"GPS, GLONASS, BDS","13 MP, f/2.0, (wide), 1/3.1"", 1.12µm, PDAF","5.3 inches, 77.4 cm2(~69.4% screen-to-body ratio)",,,,Voice 88dB / Noise 77dB / Ring 81dB,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),4K
GSM 850 / 1900,,,,,,"Dual SIM (Mini-SIM, dual stand-by)",,No,,,,,No,FM radio,,,,"Black, Blue, White",,,Yes,,,,,,Yes,,,Nokia 105 (2017),112 x 49.5 x 14.4 mm (4.41 x 1.95 x 0.57 in),SMS,,,"120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,microUSB 2.0 (charging only),GSM,73 g (2.57 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-105-2017.jpg,,TA-1010,No,,"Available. Released 2017, August",No,Yes,"TFT, 65K colors",,,4MB 4MB RAM,,,1.50 W/kg (head)     1.38 W/kg (body),Flashlight,About 20 EUR,,No,,,,"Li-Ion 800 mAh, removable","2017, July",Nokia,Yes,,,No,No,,,,,No,Yes,,No,,"1.8 inches, 10.0 cm2(~18.1% screen-to-body ratio)",,,,,,GSM 900 / 1800 - SIM 1 & SIM 2 (dual-SIM model only),
Flashlight,,,,,,Single SIM (Mini-SIM) or Dual SIM (Mini-SIM),,No,,,,,3.0,FM radio,,,,"Red, Grey, Black",,,Yes,,,,,,Yes,,,Nokia 130 (2017),111.5 x 48.4 x 14.2 mm (4.39 x 1.91 x 0.56 in),SMS,,,"120 x 160 pixels, 4:3 ratio (~111 ppi density)",,,microUSB 2.0,GSM,74 g (2.61 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-130-2017.jpg,,,,,"Available. Released 2017, August",No,Yes,"TFT, 65K colors",,,8MB 4MB RAM,,,1.45 W/kg (head)     1.41 W/kg (body),No,About 30 EUR,,microSDHC (dedicated slot),Yes,,,"Li-Ion 1020 mAh, removable (BL-5C)","2017, July",Nokia,Yes,,,No,Yes,,,,,Yes,Yes,,No,VGA,"1.8 inches, 10.0 cm2(~18.6% screen-to-body ratio)",,,,,,GSM 900 / 1800 - SIM 1 & SIM 2 (dual-SIM model only),
eMMC 5.0,,,,,,Nano-SIMNano-SIM + Nano-SIM,,Yes,,,Photo/Video,"Glass front (Gorilla Glass 3), plastic back, aluminum frame","4.0, A2DP, LE",FM radio with RDS,Corning Gorilla Glass 3,,,"Silver White, Matte Black, Tempered Blue, Copper White",,LED flash,,,,Mali-T720MP1,,Noise -91.9dB / Crosstalk -91.8dB,Yes,,,Nokia 3,143.4 x 71.4 x 8.5 mm (5.65 x 2.81 x 0.33 in),,"1, 3, 5, 7, 8, 20, 28, 38, 40",HSDPA 850 / 900 / 1900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.4 GHz Cortex-A53,Endurance rating 53h,"microUSB 2.0, OTG",GSM / HSPA / LTE,140 g (4.94 oz),"Android 7.0 (Nougat), upgradable to Android 9.0 (Pie)",,,"Contrast ratio: 1351 (nominal), 2.871 (sunlight)",,https://fdn2.gsmarena.com/vv/bigpic/nokia-3.jpg,GeekBench: 1529 (v4.4),"TA-1032, TA-1020, TA-1028, TA-1038",,Mediatek MT6737 (28 nm),"Available. Released 2017, June 17",,,IPS LCD,,,16GB 2GB RAM,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,0.48 W/kg (head)     1.85 W/kg (body),,About 100 EUR,,microSDXC (dedicated slot),720p@30fps,,,"Li-Ion 2630 mAh, non-removable","2017, February 24",Nokia,,,,"Wi-Fi 802.11 b/g/n, dual-band, Wi-Fi Direct",,,,,,,Yes,"8 MP, f/2.0, AF",GPS,"8 MP, f/2.0, 1.12µm, AF","5.0 inches, 68.9 cm2(~67.3% screen-to-body ratio)",,,,Voice 70dB / Noise 71dB / Ring 83dB,"Accelerometer, gyro, proximity, compass",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),720p
eMMC 5.1,,,,,,Nano-SIMNano-SIM + Nano-SIM,,Yes,,,Photo/Video,"Glass front (Gorilla Glass), aluminum back, aluminum frame","4.1, A2DP, LE",FM radio,Corning Gorilla Glass (unspecified version),,,"Tempered Blue, Silver, Matte Black, Copper",,"Dual-LED dual-tone flash, HDR",,,,Adreno 505,,Noise -94.3dB / Crosstalk -91.9dB,Yes,,,Nokia 5,149.7 x 72.5 x 8 mm (5.89 x 2.85 x 0.31 in),,"1, 3, 5, 7, 8, 20, 28, 38, 40",HSDPA 850 / 900 / 1900 / 2100,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Octa-core 1.4 GHz Cortex-A53,Endurance rating 84h,"microUSB 2.0, OTG",GSM / HSPA / LTE,160 g (5.64 oz),"Android 7.1.1 (Nougat), upgradable to Android 9.0 (Pie)",,,"Contrast ratio: 916 (nominal), 3.261 (sunlight)",,https://fdn2.gsmarena.com/vv/bigpic/nokia-5n.jpg,GeekBench: 2851 (v4.4)GFXBench: 5.2fps (ES 3.1 onscreen),"TA-1053, TA-1024, TA-1044, TA-1027",,Qualcomm MSM8937 Snapdragon 430 (28 nm),"Available. Released 2017, July 17",,,IPS LCD,,,"16GB 2GB RAM, 16GB 3GB RAM","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,0.32 W/kg (head)     1.55 W/kg (body),,About 170 EUR,,microSDXC (dedicated slot),1080p@30fps,,,"Li-Ion 3000 mAh, non-removable","2017, February 26",Nokia,,,,Wi-Fi 802.11 b/g/n,,,,,,,Yes,"8 MP, f/2.0, 1/4.0"", 1.12µm",GPS,"13 MP, f/2.0, 1/3.1"", 1.12µm, PDAF","5.2 inches, 74.5 cm2(~68.7% screen-to-body ratio)",,,,Voice 63dB / Noise 70dB / Ring 81dB,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),1080p@30fps
eMMC 5.1,,,,,,Nano-SIM + Nano-SIM,,Yes,,,Photo/Video,"Glass front (Gorilla Glass 3), aluminum back, aluminum frame","4.1, A2DP, LE",FM radio,Corning Gorilla Glass 3,,,"Arte Black, Matte Black, Tempered Blue, Silver, Copper",,"Dual-LED dual-tone flash, panorama, HDR",,,Up to 18 h (3G),Adreno 505,,,"Yes, with stereo speakers",,,Nokia 6,154 x 75.8 x 7.9 mm (6.06 x 2.98 x 0.31 in),,"1, 3, 5, 7, 8, 20, 28, 38, 40",HSDPA 850 / 900 / 1900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~403 ppi density)",Octa-core 1.4 GHz Cortex-A53,Endurance rating 62h,"microUSB 2.0, OTG",GSM / HSPA / LTE,169 g (5.96 oz),"Android 7.1.1 (Nougat), upgradable to Android 9.0 (Pie)",,,"Contrast ratio: 1330 (nominal), 3.238 (sunlight)",,https://fdn2.gsmarena.com/vv/bigpic/nokia-6.jpg,GeekBench: 2841 (v4.4)GFXBench: 2.5fps (ES 3.1 onscreen),"TA-1021, TA-1033, TA-1000, TA-1003, TA-1025, TA-1039",,Qualcomm MSM8937 Snapdragon 430 (28 nm),Discontinued,,,IPS LCD,,,"32GB 3GB RAM, 64GB 4GB RAM","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",,0.29 W/kg (head),,About 400 EUR,Up to 768 h (3G),microSDXC (uses shared SIM slot),1080p@30fps,,,"Li-Ion 3000 mAh, non-removable","2017, January. Released 2017, January 19",Nokia,,,10W wired,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",,,,,,,Yes,"8 MP, f/2.0, 1/4.0"", 1.12µm, AF","GPS, GLONASS","16 MP, f/2.0, 1.0µm, PDAF","5.5 inches, 82.6 cm2(~70.7% screen-to-body ratio)",Up to 22 h,,,Voice 63dB / Noise 70dB / Ring 82dB,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,1080p@30fps
Flashlight,,,,,,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",Up to 600 h,No,,,,"Glass front, plastic back, plastic frame","3.0, A2DP",FM radio,,,,"Warm Red (Glossy), Dark Blue (Matte), Yellow (Glossy), Grey (Matte)",,LED flash,Yes,,Up to 22 h,,,,Yes,,,Nokia 3310 (2017),115.6 x 51 x 12.8 mm (4.55 x 2.01 x 0.50 in),SMS,,,"240 x 320 pixels, 4:3 ratio (~167 ppi density)",,,microUSB 2.0,GSM,85 g (3.00 oz),,,,,,https://fdn2.gsmarena.com/vv/bigpic/nokia-3310-2017-orig.jpg,,,Audio/Video player,,"Available. Released 2017, May",No,Yes,TFT,,,16MB,,,0.71 W/kg (head)     1.49 W/kg (body),No,About 60 EUR,Up to 744 h,microSDHC (dedicated slot),240p@8fps,,,"Li-Ion 1200 mAh, removable","2017, February",Nokia,Yes,Up to 22 h,,No,Yes,,,,,Yes,Yes,,No,2 MP,"2.4 inches, 17.8 cm2(~30.3% screen-to-body ratio)",Up to 51 h,,,,,GSM 900 / 1800 - SIM 1 & SIM 2 (dual-SIM model only),
