,Positioning,Resolution,Type_1,Loudspeaker_1,Java,Triple,4G bands,Status,_3,Display,Video_1,128GB 4GB RAM,3.5mm jack,Battery (old),_2,Features_1,Quad,_1,Models,Performance,_4,Unspecified,256GB 8GB RAM,Protection,_6,Bluetooth,Music play,GPU,Chipset,OS,2G bands,Card slot,256GB,SAR EU,Single,Speed,GPRS,Weight,128GB 6GB RAM,CPU,Sensors,Size,Model Name,USB,512GB 12GB RAM,Browser,Price,Talk time,128GB 8GB RAM,EDGE,Battery (new),_5,64GB 4GB RAM,Internal,Stand-by,Video,Dual,Dimensions,Announced,Single_1,Dual_1,Audio quality,SIM,Radio,Camera,1TB 16GB RAM,Features,WLAN,Infrared port,Phonebook,Messaging,Keyboard,256GB 12GB RAM,Model Image,Call records,3G bands,Technology,Games,Brand,512GB 16GB RAM,SAR,Colors,Type,Charging,5G bands,Loudspeaker,Build,NFC
CDMA 800,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC","1084 x 2412 pixels, 20:9 ratio (~391 ppi density)",Li-Po 4500 mAh,,,,"1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 40, 41, 66 - International","Available. Released 2023, April 27",Virtual proximity sensing,,"4K@30fps, 1080p@30fps, gyro-EIS",,No,,"1, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41 - China",HDR,,CDMA2000 1x,"FOA-AL00, FOA-LX9",,,,,Kunlun Glass,,"5.2, A2DP, LE",,Adreno 642L,Qualcomm SM7325 Snapdragon 778G 4G (6 nm),HarmonyOS 3.0,GSM 850 / 900 / 1800 / 1900,No,,,,"HSPA, LTE",,168 g (5.93 oz),,Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670),"Fingerprint (under display, optical), accelerometer, gyro, compass","6.7 inches, 110.5 cm2(~91.4% screen-to-body ratio)",Huawei nova 11,"USB Type-C 2.0, OTG",,,About 310 EUR,,,,,,,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",,"4K, 1080p, 720p@960fps, gyro-EIS","50 MP, f/1.9, (wide), PDAF8 MP, f/2.2, 112˚ (ultrawide)",161.3 x 75 x 6.9 mm (6.35 x 2.95 x 0.27 in),"2023, April 17",,"60 MP, f/2.4, 100˚ (ultrawide)",,Nano-SIMNano-SIM + Nano-SIM,No,,,"Color spectrum sensor, LED flash, panorama, HDR","Wi-Fi 802.11 a/b/g/n/a/6, dual-band, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova11.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE,,Huawei,,,"Black, Green, White, Gold","OLED, 1B colors, HDR10, 120Hz","66W wired, 100% in 31 minReverse wired",,"Yes, with stereo speakers",,"Yes; NFC-SIM, HCE"
CDMA 800,"GPS (L1+L5), GLONASS (B1I+B1c+B2a), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC",2224 x 2496 pixels (~426 ppi density),Li-Po 4800 mAh (Global)Si/C Li-Ion 5060 mAh (China only),-26.3 LUFS (Good),,"50 MP, f/1.8, 23mm (wide), PDAF, OIS12 MP, f/3.4, 125mm (periscope telephoto), PDAF, OIS, 5x optical zoom13 MP, f/2.2, 13mm (ultrawide), AF","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41","Available. Released 2023, April 08","Cover display:OLED, 120Hz, 6.4 inches, 1080 x 2504 pixels",926 nits max brightness (measured),"4K@30fps, 1080p@30fps",,No,Endurance rating 81h,IPX8 dust/water resistant (up to 1.5m for 30 min)Stylus support (both displays),"HDR, panorama",,CDMA2000 1xEV-DO,"ALT-AL00, ALT-L29","AnTuTu: 993592 (v9)GeekBench: 4283 (v5.5), 4512 (v6)GFXBench: 41fps (ES 3.1 onscreen)",UFS,,,Kunlun Glass (cover display only),,"5.2, A2DP, LE",,Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm),"HarmonyOS 3.1 (China), EMUI 13.1 (Europe), no Google Play Services",GSM 850 / 900 / 1800 / 1900,"NM (Nano Memory), up to 256GB (uses shared SIM slot)",,,"8 MP, f/2.4, (wide)Cover camera:8 MP, f/2.4, (wide)","HSPA, LTE",,239 g or 241 g (8.43 oz),,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),"Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer, altimeter","7.85 inches, 197.5 cm2(~88.9% screen-to-body ratio)",Huawei Mate X3,"USB Type-C 3.1, DisplayPort 1.2, OTG",,,About 4650 EUR,,,,,BDS Satellite Messaging - China only,,"256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM",,"4K@30/60fps, 1080p@30/60fps, gyro-EIS",,Unfolded: 156.9 x 141.5 x 5.3 mmFolded: 156.9 x 72.4 x 11.1 mm,"2023, March 23",,,,Nano-SIM + Nano-SIM,No,Photo/Video,,"Laser AF, color spectrum sensor, LED flash, panorama, HDR","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-x3.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / EVDO / LTE,,Huawei,,,"Black, White, Violet, Dark Green, Gold","Foldable OLED, 1B colors, 120Hz",66W wired50W wireless7.5W reverse wireless,,"Yes, with stereo speakers","Glass front, glass back or eco leather back, aluminum frame","Yes; NFC-SIM, HCE"
CDMA 800,"GPS (L1+L5), GLONASS (B1I+B1c+B2a), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC",1220 x 2700 pixels (~444 ppi density),Li-Po 4815 mAh,-27.3 LUFS (Good),,"48 MP, f/1.4-f/4.0, 25mm (wide), PDAF, OIS48 MP, f/2.1, 90mm (telephoto), PDAF, sensor-shift OIS, 3.5x optical zoom13 MP, f/2.2, 13mm (ultrawide), AF","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41, 66 - International","Available. Released 2023, March 31",IP68 dust/water resistant (up to 1.5m for 30 min),1135 nits max brightness (measured),"4K@30/60fps, 1080p@30fps, HDR Vivid",,No,Endurance rating 96h,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41 - China","Panorama, HDR",,CDMA2000 1x,"MNA-AL00, MNA-LX9",AnTuTu: 1030473 (v9)GeekBench: 4422 (v6)GFXBench: 65fps (ES 3.1 onscreen),UFS,,$ 699.99,Kunlun Glass,,"5.2, A2DP, LE",,Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm),"HarmonyOS 3.1 (China), EMUI 13.1 (Europe), no Google Play Services",GSM 850 / 900 / 1800 / 1900,"NM (Nano Memory), up to 256GB (uses shared SIM slot)",,,"13 MP, f/2.4, (ultrawide)","HSPA, LTE",,200 g (7.05 oz),,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","6.67 inches, 107.7 cm2(~89.8% screen-to-body ratio)",Huawei P60 Pro,"USB Type-C 3.1, OTG","$ 1,645.00",,$ 518.96 / € 625.87,,,,,BDS Satellite Messaging - China only,,"256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM",,"4K@30/60fps, 1080p@30/60fps, 1080p@960fps; gyro-EIS, HDR Vivid",,161 x 74.5 x 8.3 mm (6.34 x 2.93 x 0.33 in),"2023, March 23",,,,Nano-SIMNano-SIM + Nano-SIM,No,Photo/Video,,"Laser AF, color spectrum sensor, LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-p60-pro.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE,,Huawei,,,"Black, Green, Violet, Rococo Pearl","LTPO OLED, 1B colors, 120Hz",88W wired50W wirelessReverse wireless,,"Yes, with stereo speakers",,"Yes; NFC-SIM, HCE"
CDMA 800,"GPS (L1+L5), GLONASS (B1I+B1c+B2a), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC",1220 x 2700 pixels (~444 ppi density),Li-Po 4815 mAh,,,"48 MP, f/1.4-f/4.0, 25mm (wide), PDAF, OIS12 MP, f/3.4, 125mm (periscope telephoto), PDAF, OIS, 5x optical zoom13 MP, f/2.2, 13mm (ultrawide)","1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41","Available. Released 2023, March 31",UFS,,"4K@30fps, 1080p@30fps, HDR Vivid",,No,,IP68 dust/water resistant (up to 1.5m for 30 min),"Panorama, HDR",,CDMA2000 1x,"LNA-AL00, LNA-LX9",,BDS Satellite Messaging - China only,,,,,"5.2, A2DP, LE",,Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm),"HarmonyOS 3.1 (China), EMUI 13.1 (Europe), no Google Play Services",GSM 850 / 900 / 1800 / 1900,"NM (Nano Memory), up to 256GB (uses shared SIM slot)",,,"13 MP, f/2.4, (ultrawide)","HSPA, LTE",,197 g (6.95 oz),,Octa-core (1x3.0 GHz Cortex-X2 & 3x2.5 GHz Cortex-A710 & 4x1.8 GHz Cortex-A510),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","6.67 inches, 107.7 cm2(~89.8% screen-to-body ratio)",Huawei P60,"USB Type-C 3.1, OTG",,,About 600 EUR,,,,,,,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",,"4K@30/60fps, 1080p@30/60fps, 1080p@960fps; gyro-EIS, HDR Vivid",,161 x 74.5 x 8.3 mm (6.34 x 2.93 x 0.33 in),"2023, March 23",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-p60.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE,,Huawei,,,"Black, Green, Violet, Rococo Pearl","LTPO OLED, 1B colors, 120Hz",66W wired50W wireless,,"Yes, with stereo speakers",,"Yes; NFC-SIM, HCE"
CDMA 800,"GPS (L1+L5), GLONASS (B1I+B1c+B2a), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC",1220 x 2700 pixels (~444 ppi density),Si/C Li-Ion 5100 mAh,,,"48 MP, f/1.4-f/4.0, 25mm (wide), PDAF, OIS48 MP, f/2.1, 90mm (telephoto), PDAF, OIS, 3.5x optical zoom40 MP, f/2.2, 13mm (ultrawide)","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 34, 38, 39, 40, 41, 66 - International","Available. Released 2023, April 08",IP68 dust/water resistant (up to 1.5m for 30 min),,"4K@30fps, 1080p@30fps, HDR Vivid",,No,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41 - China","Panorama, HDR",,CDMA2000 1x,MNA-AL00,,UFS,,,Kunlun Glass,,"5.2, A2DP, LE",,Adreno 730,Qualcomm SM8475 Snapdragon 8+ Gen 1 4G (4 nm),"HarmonyOS 3.1 (China), EMUI 13.1 (International)",GSM 850 / 900 / 1800 / 1900,"NM (Nano Memory), up to 256GB (uses shared SIM slot)",,,"13 MP, f/2.4, (ultrawide)","HSPA, LTE",,206 g (7.27 oz),,Octa-core (1x3.19 GHz Cortex-X2 & 3x2.75 GHz Cortex-A710 & 4x2.0 GHz Cortex-A510),"Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","6.67 inches, 107.7 cm2(~89.8% screen-to-body ratio)",Huawei P60 Art,"USB Type-C 3.1, OTG",,,About 1200 EUR,,,,,BDS Satellite Messaging - China only,,"512GB 12GB RAM, 1TB 12GB RAM",,"4K@30/60fps, 1080p@30/60fps, 1080p@960fps; gyro-EIS, HDR Vivid",,161 x 74.5 x 8.3 mm (6.34 x 2.93 x 0.33 in),"2023, March 23",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",Yes,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-p60-art.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE,,Huawei,,,"Azure Blue, Seashore Gold","LTPO OLED, 1B colors, 120Hz",88W wired50W wireless,,"Yes, with stereo speakers",,"Yes; NFC-SIM, HCE"
,"GPS, GLONASS, GALILEO, BDS, QZSS","720 x 1600 pixels, 20:9 ratio (~260 ppi density)",Li-Po 6000 mAh,,,,"1, 3, 5, 8, 34, 38, 39, 40, 41","Available. Released 2023, March 26",,,1080p@30fps,,Yes,,,,,,MGA-AL40,,,,,,,"5.1, A2DP, LE",,,,HarmonyOS 3.0,GSM 850 / 900 / 1800 / 1900,microSDXC,,,"8 MP, f/2.0, (wide)","HSPA, LTE",,199 g (7.02 oz),,,"Fingerprint (side-mounted), accelerometer, compass","6.75 inches, 110.0 cm2(~84.1% screen-to-body ratio)",Huawei Enjoy 60,"USB Type-C 2.0, OTG",,,About 170 EUR,,,,,,,"128GB 8GB RAM, 256GB 8GB RAM",,1080p@30fps,"48 MP, f/1.8, (wide), 1/2.0"", AF2 MP, f/2.4, (depth)",168.3 x 77.7 x 9 mm (6.63 x 3.06 x 0.35 in),"2023, March 23",,,,Nano-SIM + Nano-SIM,FM radio,,,"Dual-LED dual-tone flash, HDR, panorama",Wi-Fi 802.11 b/g/n,,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-60.jpg,,HSDPA 850 / 900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Black, Blue, Gold",TFT LCD,22.5W wired,,Yes,,No
"Swimproof/diving (EN13319, ISO 22810:2010)100m water resistant10 ATMIP68ECG certified","GPS (L1+L5), GLONASS, BDS, GALILEO, QZSS",466 x 466 pixels (~311 ppi density),Li-Po 530 mAh,,,,N/A,"Available. Released 2023, March 31",,,,,No,,BDS Satellite Messaging - China only,,,No,CLB-B19,,,,,,,"5.2, A2DP, LE",,,,HarmonyOS 3.0,N/A,No,,,,No,No,76 g (2.68 oz),,,"Accelerometer, gyro, heart rate, barometer, compass, SpO2, thermometer (body temperature)",1.5 inches,Huawei Watch Ultimate,No,,,About 740 EUR,,,No,,,,32GB,,,,48.5 x 48.5 x 13 mm (1.91 x 1.91 x 0.51 in),"2023, March 23",,,,No,No,,,,Yes (only for Bluetooth transmission acceleration),,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt-ultimate.jpg,,N/A,No cellular connectivity,,Huawei,,,"Expedition Black, Voyage Blue, Green",LTPO AMOLED,Wireless,,Yes,"Sapphire crystal front, cerramic bezzel, zirconium front case, ceramic back",Yes
Stylus support (magnetic),No,"2560 x 1600 pixels, 16:10 ratio (~275 ppi density)",Li-Po 7250 mAh,,,,N/A,"Available. Released 2023, March 31",,,1080p@30fps,,No,,,,,Tuned by Harman Kardon,DBR-W10,,,,,,,"5.1, A2DP, LE",,Adreno 650,Qualcomm SM8250-AC Snapdragon 870 5G (7 nm)Qualcomm SM8250 Snapdragon 865 5G (7 nm+),HarmonyOS 3.1,N/A,microSDXC (dedicated slot),,,"13 MP, f/1.8, PDAF",,No,480 g (1.06 lb),,Octa-core (1x3.2 GHz Kryo 585 & 3x2.42 GHz Kryo 585 & 4x1.80 GHz Kryo 585)Octa-core (1x2.84 GHz Cortex-A77 & 3x2.42 GHz Cortex-A77 & 4x1.80 GHz Cortex-A55),Accelerometer,"11.0 inches, 348.3 cm2(~83.1% screen-to-body ratio)",Huawei MatePad 11 (2023),"USB Type-C 3.1, OTG",,,About 300 EUR,,,No,,,,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",,"4K@30fps, 1080p@30fps",,253.7 x 165.3 x 7.2 mm (9.99 x 6.51 x 0.28 in),"2023, March 23","8 MP, f/2.0",,,No,No,,,"LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-11-2023.jpg,,N/A,No cellular connectivity,,Huawei,,,"Black, Blue, White, Purple","IPS LCD, 120Hz",22.5W wired5W reverse wired,,"Yes, with stereo speakers (4 speakers)",,No
CDMA 800,"GPS, GLONASS, GALILEO, BDS, QZSS",1080 x 2388 pixels (~387 ppi density),Li-Po 4000 mAh,,,,"1, 2, 3, 4, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41","Available. Released 2023, March 04",,,1080p@30fps,,No,,Splash and dust resistant,,"108 MP, (wide), PDAF8 MP, (ultrawide)2 MP, (macro)2 MP, (depth)",CDMA2000 1x,JLN-AL00,,,,,,,"5.0, A2DP, LE",,Adreno 610,Qualcomm Snapdragon 680G 4G (6 nm),HarmonyOS 2.0,GSM 850 / 900 / 1800 / 1900,No,,,"16 MP, f/2.2, (wide)","HSPA, LTE",,191 g (6.74 oz),,Octa-core (4x2.4 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),"Fingerprint (side-mounted), accelerometer, proximity, compass","6.78 inches, 111.4 cm2(~89.5% screen-to-body ratio)",Huawei nova 10 Youth,"USB Type-C 2.0, OTG",,,About 230 EUR,,,,,,,"128GB 8GB RAM, 256GB 8GB RAM",,1080p@30fps,,164.6 x 75.6 x 7.9 mm (6.48 x 2.98 x 0.31 in),"2023, March 04",,,,Nano-SIM + Nano-SIM,No,,,"LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova10-yough.jpg,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE,,Huawei,,,"Black, Blue","IPS LCD, 90Hz","66W wired, 60% in 15 min, 100% in 35 min5W reverse wired",,Yes,,No
Built-in wireless earbuds housed beneath the display; charging from the watchCompatible with standard 22mm straps,"GPS, GLONASS, GALILEO, BDS",466 x 466 pixels (~326 ppi density),Li-Ion 410 mAh (watch),,,,N/A,"Available. Released 2022, December 09",,,,,No,,,,,No,,,,,,,,"5.2, A2DP, LE",,,,HarmonyOS 3.0,N/A,No,,,,No,No,66.5 g (2.36 oz),,,"Accelerometer, gyro, heart rate, SpO2",1.43 inches,Huawei Watch Buds,No,,,About 400 EUR,,,No,,,,,,,,47 x 47.5 x 15 mm (1.85 x 1.87 x 0.59 in),"2022, December 09",,,,No,No,,,,No,,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-buds-.jpg,,N/A,No cellular connectivity,,Huawei,,,"Black, Khaki",AMOLED,Wireless,,No,"Glass front, stainless steel frame",Yes
,"GPS, GLONASS, GALILEO, BDS, QZSS","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",Li-Po 5000 mAh,,,"50 MP, f/1.8, (wide), AF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","1, 3, 5, 8, 18, 19, 26, 34, 38, 39, 40, 41","Available. Released 2022, December 26",,,1080p@30fps,,Yes,,,,,,EVE-AL00,,,,,,,"5.1, A2DP, LE",,,,HarmonyOS 2.0,GSM 850 / 900 / 1800 / 1900,microSDXC,,,"5 MP, f/2.2, (wide)","HSPA, LTE",,188 g (6.63 oz),,Octa-core,"Fingerprint (side-mounted), accelerometer, proximity, compass","6.52 inches, 102.6 cm2(~82.4% screen-to-body ratio)",Huawei Enjoy 50z,"USB Type-C 2.0, OTG",,,About 150 EUR,,,,,,,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM",,1080p@30fps,,164.3 x 75.8 x 8.9 mm (6.47 x 2.98 x 0.35 in),"2022, December 09",,,,Nano-SIM + Nano-SIM,No,,,"LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y61.jpg,,HSDPA 850 / 900 / 2100,GSM / HSPA / LTE,,Huawei,,,"Sapphire Blue, Mint Green, Midnight Black",IPS LCD,22.5W wired,,Yes,,No
50m water resistant5 ATMCompatible with standard 22mm straps (46mm model),GPS,466 x 466 pixels (~326 ppi density),455 mAh,,,,N/A,"Available. Released 2022, November 10",,,,,No,,,,,No,RUNE-B29,,,,,,,Yes,,,,HarmonyOS 2.0,N/A,No,,,,No,No,35.6 g (1.27 oz),,,"Accelerometer, gyro, heart rate, barometer, compass, SpO2",1.43 inches,Huawei Watch GT 3 SE,No,,,About 200 EUR,,,No,,,,4GB,,,,46.4 x 46.4 x 11 mm (1.83 x 1.83 x 0.43 in),"2022, November 10",,,,No,No,,,,No,,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt-3-se-.jpg,,N/A,No cellular connectivity,,Huawei,,,"Graphite Black, Wilderness Green",AMOLED,Wireless,,Yes,"Glass front, plastic back, plastic frame",No
CDMA 800,"GPS (L1+L5), GLONASS (L1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC","1188 x 2790 pixels, 21:9 ratio (~442 ppi density)",Li-Po 4000 mAh,,,,"1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41","Available. Released 2022, November 11",,,"4K, 1080p",,No,,"Cover display:OLED, 1.04 inch, 340 x 340 pixels, 328 ppi","HDR, panorama",,CDMA2000 1x,BAL-AL60,,,,,,,"5.2, A2DP, LE",,Adreno 642L,Qualcomm SM7325 Snapdragon 778G 4G (6 nm),HarmonyOS 3.0,GSM 850 / 900 / 1800 / 1900,"NM (Nano Memory), up to 256GB (uses shared SIM slot)",,,"10.7 MP, f/2.2, (ultrawide)","HSPA, LTE",,190 g (6.70 oz),,Octa-core (4x2.4 GHz Kryo 670 & 4x1.8 GHz Kryo 670),"Fingerprint (side-mounted), gyro, accelerometer, proximity, compass, barometer","6.9 inches, 109.2 cm2(~85.1% screen-to-body ratio)",Huawei Pocket S,"USB Type-C 2.0, OTG",,,About 830 EUR,,,,,,,"128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",,"4K, 1080p","40 MP, f/1.8, (wide), PDAF13 MP, f/2.2, 120˚ (ultrawide), AF",Unfolded: 170 x 75.5 x 7.2 mmFolded: 87.3 x 75.5 x 15.2 mm,"2022, November 02",,,,Nano-SIM + Nano-SIM,No,,,"Laser AF, color spectrum sensor, LED flash, HDR, panorama","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-pocket-s.jpg,,HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100,GSM / CDMA / HSPA / CDMA2000 / LTE,,Huawei,,,"Blue, Pink, Gren, Silver, Gold, Black","Foldable OLED, 1B colors, 120Hz","40W wired, 52% in 20 min5W reverse wired",,Yes,,Yes
50m water resistant5 ATMSwapable casesRotating bezel,"GPS, GLONASS, BDS, GALILEO, QZSS",466 x 466 pixels (~352 ppi density),Li-Po 292 mAh,,,,N/A,"Available. Released 2022, November 12",,,,,No,,,,,No,AND-B19,,,,,,,Yes,,,,HarmonyOS 2.0,N/A,No,,,,No,No,58 / 59 / 77 g (2.05 oz),,,"Accelerometer, gyro, heart rate, barometer, compass, SpO2",1.32 inches,Huawei Watch GT Cyber,No,,,About 180 EUR,,,No,,,,,,,,47.4 x 44.4 x 10.2 mm45.6 x 45.6 x 10.2 mm,"2022, November 02",,,,No,No,,,,Yes (only for Bluetooth transmission acceleration),,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt-cyber.jpg,,N/A,No cellular connectivity,,Huawei,,,"Black, Gray, White, Blue",AMOLED,Wireless,,Yes,Nanocrystalline ceramic + 316L stainless steelReinforced composite fiber,Yes
"HSDPA 850 / 900 / 1900 / 2100 - EVE-LX9, EVE-LX9N","GPS, GLONASS, GALILEO, BDS, QZSS","720 x 1600 pixels, 20:9 ratio (~269 ppi density)",5000 mAh,,,"50 MP, f/1.8, (wide), AF2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)","1, 2, 3, 4, 5, 7, 8, 13, 26, 28, 38, 40, 66 - EVE-LX3","Available. Released 2022, November",,,1080p@30fps,,Yes,,,,,"1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - EVE-LX9, EVE-LX9N","EVE-LX9, EVE-LX9N, EVE-LX3",,,,,,,"5.1, A2DP, LE",,,,"EMUI 12, no Google Play Services",GSM 850 / 900 / 1800 / 1900,microSDXC,,,"5 MP, f/2.2, (wide)","HSPA, LTE",,188 g (6.63 oz),,Octa-core,"Fingerprint (side-mounted), accelerometer, proximity, compass","6.52 inches, 102.6 cm2(~82.4% screen-to-body ratio)",Huawei nova Y61,"USB Type-C 2.0, OTG",,,About 140 EUR,,,,,,,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 8GB RAM",,1080p@30fps,,164.3 x 75.8 x 8.9 mm (6.47 x 2.98 x 0.35 in),"2022, November 01",,,,Nano-SIM + Nano-SIM,Unspecified,,,"LED flash, HDR, panorama",Wi-Fi 802.11 b/g/n,,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y61.jpg,,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - EVE-LX3,GSM / HSPA / LTE,,Huawei,,,"Sapphire Blue, Mint Green, Midnight Black",IPS LCD,22.5W wired,,Yes,,Yes (EVE-LX9N only)
,"GPS, GLONASS, BDS","1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",Li-Po 5100 mAh,,,,N/A,"Available. Released 2022, November",,,720p@30fps,,Yes,,,,,,BZI-W00,,,,,,,"5.1, A2DP, LE",,Mali-G51 MP4,Kirin 710A (14 nm),"Android 10, EMUI 10.1",N/A,microSDXC (dedicated slot),,,"5 MP, f/2.2, AF",,No,450 g (0.99 lb),,Octa-core (4x2.0 GHz Cortex-A73 & 4x1.7 GHz Cortex-A53),Accelerometer,"10.1 inches, 295.8 cm2(~77.4% screen-to-body ratio)",Huawei MatePad C5e,"USB Type-C 2.0, OTG",,,,,,No,,,,64GB 4GB RAM,,1080p@30fps,,240.2 x 159 x 7.9 mm (9.46 x 6.26 x 0.31 in),"2022, October 19","2 MP, f/2.4",,,No,No,,,HDR,"Wi-Fi 802.11 a/b/g/n/ac, dual-band",,,,,,https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-se.jpg,,N/A,No cellular connectivity,,Huawei,,,Deepsea Blue,IPS LCD,10W wired5W reverse wired,,"Yes, with stereo speakers",,No
