,Triple,Resolution,Games,Price,Phonebook,Type_1,Call records,Talk time,Video,_2,GPU,Card slot,Chipset,Java,Infrared port,Charging,Technology,Announced,Type,OS,Single_1,Features_1,Music play,Brand,5G bands,Dual_1,Protection,Browser,Radio,CPU,Video_1,EDGE,Stand-by,Weight,Build,SIM,Internal,Single,_3,Size,3.5mm jack,_1,Status,Model Image,USB,Sensors,GPRS,Model Name,3G bands,Speed,Loudspeaker,Bluetooth,Dual,Colors,4G bands,WLAN,Positioning,NFC,Quad,Models,Keyboard,2G bands,Messaging,Features,Dimensions
,,1080 x 2460 pixels (~395 ppi density),,About 280 EUR,,Li-Po 5000 mAh,,,"4K@30fps, 1080p@30fps",,Mali-G57 MC2,microSDXC,Mediatek Dimensity 810 (6 nm),,,18W wired10W wirelessReverse wired,GSM / HSPA / LTE / 5G,"2022, April 20",IPS LCD,Android 11,,,,BLU,"2, 5, 25, 41, 66, 71, 77 SA/NSA/Sub6",,,,FM radio,Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),1080p@30fps,,,209 g (7.37 oz),,Nano-SIM + Nano-SIM,128GB 8GB RAM,"16 MP, f/2.0",,"6.8 inches, 109.8 cm2(~84.8% screen-to-body ratio)",Yes,,"Available. Released 2022, April 20",https://fdn2.gsmarena.com/vv/bigpic/blu-f91-5g.jpg,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,BLU F91,HSDPA 850 / 1700(AWS) / 1900 / 2100,"HSPA, LTE, 5G",Yes,"5.1, A2DP, LE",,Blue,"2, 4, 5, 12, 13, 17, 25, 26, 41, 66, 71","Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct",GPS,Yes,"48 MP, f/1.8, (wide) 1/2.0"", 0.8µm, PDAF5 MP, f/2.2, 115˚ (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",168.7 x 76.8 x 8.9 mm (6.64 x 3.02 x 0.35 in)
,"13 MP2 MP, (macro)2 MP, (depth)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,,Li-Po 5000 mAh,,,1080p@30fps,,,microSDXC,,,,10W wired,GSM / HSPA / LTE,"2022, January",IPS LCD,Android 11,,,,BLU,,,,,FM radio,Octa-core 1.6 GHz Cortex-A55,1080p@30fps,,,198 g (6.98 oz),,Nano-SIM + Nano-SIM,128GB 4GB RAM,8 MP,,"6.5 inches, 102.0 cm2(~81.7% screen-to-body ratio)",Yes,,"Available. Released 2022, January",https://fdn2.gsmarena.com/vv/bigpic/blu-g71l.jpg,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,BLU G71L,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",,"Blue, Green","1, 2, 3, 4, 5, 7, 12, 17, 28, 66","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,164.4 x 75.9 x 9.6 mm (6.47 x 2.99 x 0.38 in)
,,1080 x 2460 pixels (~395 ppi density),,About 200 EUR,,Li-Po 5000 mAh,,,"4K@30fps, 1080p@30fps",,Mali-G76 MC4,microSDXC,Mediatek MT6785V/CD Helio G95 (12 nm),,,18W wired10W wireless,GSM / HSPA / LTE,"2022, February 23",IPS LCD,Android 11,,,,BLU,,,,,FM radio,Octa-core (2x2.05 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),1080p@30fps,,,213 g (7.51 oz),,Nano-SIM + Nano-SIM,128GB 8GB RAM,"16 MP, f/2.0",,"6.8 inches, 109.8 cm2(~84.6% screen-to-body ratio)",Yes,,"Available. Released 2022, February 23",https://fdn2.gsmarena.com/vv/bigpic/blu-g91-max.jpg,"USB Type-C 2.0, OTG","Fingerprint (side-mounted), accelerometer, gyro, proximity, compass",,BLU G91 Max,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.1, A2DP, LE",,"Gray, Sky Blue","1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 28, 38","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",GPS,No,"108 MP, f/1.8, (wide) 1/1.52"", 0.7µm, PDAF5 MP, f/2.2, 115˚ (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",168.6 x 77 x 8.9 mm (6.64 x 3.03 x 0.35 in)
eMMC 5.1,"13 MP, (wide)2 MP, (macro)2 MP, (depth)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,,,Li-Po 4900 mAh,,,1080p@30fps,,,microSDXC,,,,,GSM / HSPA / LTE,"2022, January",IPS LCD,Android 11,,,,BLU,,,,,FM radio,Octa-core 1.8 GHz Cortex-A75,1080p@30fps,,,175 g (6.17 oz),,Nano-SIM + Nano-SIM,"64GB 4GB RAM, 128GB 4GB RAM",13 MP,,"6.5 inches, 102.0 cm2(~83.0% screen-to-body ratio)",Yes,,"Available. Released 2022, January",https://fdn2.gsmarena.com/vv/bigpic/blu-g71-plus.jpg,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,BLU G71+,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",,"Bronze, Blue, Green, White","2, 3, 4, 5, 7, 12, 17, 28, 66","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,160.2 x 76.7 x 9 mm (6.31 x 3.02 x 0.35 in)
eMMC 5.1,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",,About 60 EUR,,Li-Po 4000 mAh,,,1080p@30fps,,,microSDXC,,,,,GSM / HSPA / LTE,"2022, February",IPS LCD,Android 11 (Go edition),5 MP,,,BLU,,,,,FM radio,Quad-core 2.0 GHz Cortex-A75,720p@30fps,,,360 g (12.70 oz),,Micro-SIM,32GB 3GB RAM,8 MP,,"8.0 inches, 185.6 cm2(~70.5% screen-to-body ratio)",Yes,,"Available. Released 2022, February",https://fdn2.gsmarena.com/vv/bigpic/blu-m8l-2022.jpg,USB Type-C 2.0,Accelerometer,,BLU M8L 2022,HSDPA 850 / 900 / 1700 / 1900 / 2100,"HSPA, LTE",Yes,"4.1, A2DP, LE",,"Black, Bronze","2, 3, 4, 5, 7, 12, 17, 28, 66","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,209 x 126 x 10.6 mm (8.23 x 4.96 x 0.42 in)
eMMC 5.1,,"720 x 1560 pixels, 19.5:9 ratio (~268 ppi density)",,About 80 EUR,,Li-Po 4000 mAh,,,1080p@30fps,,,microSDXC,,,,,GSM / HSPA / LTE,"2022, January",IPS LCD,Android 11 (Go edition),,,,BLU,,,,,FM radio,Octa-core 1.6 GHz Cortex-A55,720p@30fps,,,185 g (6.53 oz),,,32GB 2GB RAM,8 MP,,"6.4 inches, 100.5 cm2(~79.9% screen-to-body ratio)",Yes,,"Available. Released 2022, January",https://fdn2.gsmarena.com/vv/bigpic/blu-g51s.jpg,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,BLU G51S,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",13 MP0.3 MP (depth),"Bronze, Gradient Blue, Green, Red","1, 2, 3, 4, 5, 7, 12, 17, 28","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,162.4 x 77.5 x 9 mm (6.39 x 3.05 x 0.35 in)
eMMC 5.1,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",,About 60 EUR,,Li-Po 2700 mAh,,,720p@30fps,,,microSDXC,,,,,GSM / HSPA,"2022, January",IPS LCD,Android 11 (Go edition),,,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A7,720p@30fps,,,164 g (5.78 oz),,Nano-SIM + Nano-SIM,16GB 1GB RAM,5 MP,,"5.7 inches, 83.8 cm2(~68.8% screen-to-body ratio)",Yes,,"Available. Released 2022, January",https://fdn2.gsmarena.com/vv/bigpic/blu-c5-max.jpg,microUSB 2.0,Accelerometer,,BLU C5 Max,HSDPA 850 / 900 / 1900 / 2100,HSPA 21.1/5.76 Mbps,Yes,"4.1, A2DP",5 MP0.3 MP (depth),"Black, Blue, Red, Green, Bronze",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,159.2 x 76.5 x 9.8 mm (6.27 x 3.01 x 0.39 in)
eMMC 5.1,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,About 50 EUR,,Li-Po 2000 mAh,,,1080p@30fps,,Mali-400MP2,microSDXC,Mediatek MT6580 (28 nm),,,,GSM / HSPA,"2022, January",IPS LCD,Android 11 (Go edition),5 MP,,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A7,720p@30fps,,,175 g (6.17 oz),,Nano-SIM + Nano-SIM,32GB 1GB RAM,"8 MP, AF",,"5.0 inches, 68.9 cm2(~64.2% screen-to-body ratio)",Yes,,"Available. Released 2022, January",https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x10-2022.jpg,microUSB 2.0,Accelerometer,,BLU Studio X10 2022,HSDPA 850 / 900 / 1900 / 2100,HSPA 21.1/5.76 Mbps,Yes,"4.1, A2DP",,"Green, Red, Black, Blue",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,145.9 x 73.5 x 9.8 mm (5.74 x 2.89 x 0.39 in)
eMMC 5.1,,"480 x 960 pixels, 18:9 ratio (~188 ppi density)",,,,"Li-Po 2000 mAh, removable",,,720p@30fps,,Mali-T820 MP1,microSDXC,Unisoc SC9832 (28 nm),,,,GSM / HSPA / LTE,"2021, December",IPS LCD,Android 11 (Go edition),2 MP,,,BLU,,,,,FM radio,Quad-core 1.4 GHz Cortex-A53,720p@30fps,,,174 g (6.14 oz),,Nano-SIM,"16GB 1GB RAM, 32GB 2GB RAM",5 MP,,"5.7 inches, 83.8 cm2(~68.7% screen-to-body ratio)",Yes,,"Available. Released 2021, December",https://fdn2.gsmarena.com/vv/bigpic/blu-c5l-max.jpg,microUSB 2.0,Accelerometer,,BLU C5L Max,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.2, A2DP, LE",,"Gray, Blue, Red, Green, Bronze","2, 3, 4, 5, 7, 12, 17, 28, 66","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,159.5 x 76.5 x 10.5 mm (6.28 x 3.01 x 0.41 in)
eMMC 5.1,,1080 x 2460 pixels (~395 ppi density),,About 200 EUR,,Li-Po 6000 mAh,,,1080p@30fps,,Mali-G52 MC2,microSDXC,Mediatek MT6769V/CU Helio G80 (12 nm),,,18W wired,GSM / HSPA / LTE,"2021, December 07",IPS LCD,Android 11,,,,BLU,,,,,FM radio,Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55),1080p@30fps,,,202 g (7.13 oz),,Nano-SIM + Nano-SIM,128GB 4GB RAM,"13 MP, f/2.0",,"6.8 inches, 109.8 cm2(~85.4% screen-to-body ratio)",Yes,,"Available. Released 2021, December 07",https://fdn2.gsmarena.com/vv/bigpic/blu-g91s.jpg,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,BLU G91s,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Yes,"5.0, A2DP, LE",,"Blue, Green, Gray, Cyan","1, 2, 3, 4, 5, 7, 12, 17, 28","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",GPS,No,"48 MP, f/1.8, (wide), 1/2.0, 0.8µm, PDAF5 MP, f/2.2, (ultrawide)2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",168 x 76.5 x 8.9 mm (6.61 x 3.01 x 0.35 in)
eMMC 5.1,,"720 x 1440 pixels, 18:9 ratio (~268 ppi density)",,About 50 EUR,,Li-Po 3400 mAh,,,1080p@30fps,,PowerVR GE8320,microSDXC,Mediatek MT6762 Helio P22 (12 nm),,,,GSM / HSPA / LTE,"2021, September",IPS LCD,Android 11,8 MP,,,BLU,,,,,FM radio,Octa-core 2.0 GHz Cortex-A53,720p@30fps,,,178 g (6.28 oz),,Nano-SIM,32GB 3GB RAM,13 MP,,"6.0 inches, 92.9 cm2(~75.6% screen-to-body ratio)",Yes,,"Available. Released 2021, October",https://fdn2.gsmarena.com/vv/bigpic/blu-view3.jpg,USB Type-C 2.0,"Accelerometer, proximity",,BLU View 3,HSDPA 850 / 1700(AWS) / 1900,"HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps",Yes,"5.1, A2DP, LE",,Black,"2, 4, 5, 12, 13, 25, 26, 41, 66, 71","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,160.2 x 76.7 x 9 mm (6.31 x 3.02 x 0.35 in)
eMMC 5.1,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",,About 60 EUR,,Li-Po 4300 mAh,,,1080p@30fps,,,microSDXC,,,,,GSM / HSPA / LTE,"2020, August",IPS LCD,Android 11 (Go edition),5 MP,,,BLU,,,,,FM radio,Octa-core 1.6 GHz Cortex-A55,720p@30fps,,,383 g (13.51 oz),,Nano-SIM,32GB 2GB RAM,8 MP,,"8.0 inches, 185.6 cm2(~72.1% screen-to-body ratio)",Yes,,"Available. Released 2020, August",https://fdn2.gsmarena.com/vv/bigpic/blu-m8l-plus.jpg,microUSB 2.0,Accelerometer,,BLU M8L Plus,HSDPA 850 / 900 / 1700 / 1900 / 2100,"HSPA, LTE",Yes,"4.1, A2DP, LE",,Blue,"2, 3, 4, 5, 7, 12, 17, 28, 66","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,208 x 123.7 x 10.5 mm (8.19 x 4.87 x 0.41 in)
eMMC 5.1,,"800 x 1280 pixels, 16:10 ratio (~189 ppi density)",,About 60 EUR,,Li-Po 4000 mAh,,,1080p@30fps,,,microSDXC,,,,,GSM / HSPA / LTE,"2020, August",IPS LCD,Android 11 (Go edition),5 MP,,,BLU,,,,,FM radio,Octa-core 1.6 GHz Cortex-A55,720p@30fps,,,352 g (12.42 oz),,Nano-SIM + Nano-SIM,32GB 1GB RAM,8 MP,,"8.0 inches, 185.6 cm2(~71.4% screen-to-body ratio)",Yes,,"Available. Released 2020, August",https://fdn2.gsmarena.com/vv/bigpic/blu-m8l.jpg,USB Type-C 2.0,Accelerometer,,BLU M8L,HSDPA 850 / 900 / 1700 / 1900 / 2100,"HSPA, LTE",Yes,"4.1, A2DP, LE",,Black,"2, 3, 4, 5, 7, 12, 17, 28, 66","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,208 x 125 x 9 mm (8.19 x 4.92 x 0.35 in)
eMMC 5.1,,"480 x 854 pixels, 16:9 ratio (~196 ppi density)",,About 50 EUR,,Li-Po 2000 mAh,,,1080p@30fps,,Mali-T820,microSDXC,,,,,GSM / HSPA / LTE,"2020, August",IPS LCD,Android 11 (Go edition),2 MP,,,BLU,,,,,FM radio,Quad-core 1.4 GHz Cortex-A53,720p@30fps,,,152 g (5.36 oz),,Nano-SIM + Nano-SIM,16GB 1GB RAM,8 MP,,"5.0 inches, 68.9 cm2(~65.9% screen-to-body ratio)",Yes,,"Available. Released 2020, August",https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x10l.jpg,microUSB 2.0,Accelerometer,,BLU Studio X10L,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.1, A2DP, LE",,"Gray, Blue, Red, Green","1, 2, 3, 4, 5, 7, 12, 17, 28","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,142.9 x 73.1 x 9.9 mm (5.63 x 2.88 x 0.39 in)
,,"1080 x 2400 pixels, 20:9 ratio (~393 ppi density)",,About 150 EUR,,Li-Po 5000 mAh,,,"4K@30fps, 1080p@30fps",,Mali-G76 MC4,microSDXC,Mediatek MT6785 Helio G90 (12 nm),,,30W wired10W wireless,GSM / HSPA / LTE,"2021, August 26",IPS LCD,Android 11,,,,BLU,,,,,FM radio,Octa-core (2x2.0 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55),1080p@30fps,,,201 g (7.09 oz),,Nano-SIM + Nano-SIM,128GB 6GB RAM,"16 MP, f/2.0",,"6.7 inches, 108.4 cm2(~85.3% screen-to-body ratio)",Yes,,"Available. Released 2021, August 26",https://fdn2.gsmarena.com/vv/bigpic/blu-g91-pro.jpg,"USB Type-C 2.0, OTG","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",,BLU G91 Pro,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",Yes,"4.1, A2DP, LE",,"Graphite, Moonstone","1, 2, 3, 4, 5, 7, 12, 17, 28","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",GPS,No,"48 MP, f/1.8, (wide) 1/2.0"", 0.8µm, PDAF5 MP, f/2.2, (ultrawide)2 MP, f/2.4, (macro)2 MP, f/2.4, (depth)",,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",165.2 x 76.9 x 8.9 mm (6.50 x 3.03 x 0.35 in)
eMMC 5.1,,"480 x 960 pixels, 18:9 ratio (~179 ppi density)",,,,Li-Ion 3000 mAh,,,1080p@30fps,,,microSDXC,,,,,GSM / HSPA / LTE,"2021, June",IPS LCD,Android 11 (Go edition),,,,BLU,,,,,FM radio,Octa-core 1.6 GHz Cortex-A55,720p@30fps,,,191 g (6.74 oz),,Nano-SIM + Nano-SIM,32GB 1GB RAM,8 MP,,"6.0 inches, 92.9 cm2(~74.8% screen-to-body ratio)",Yes,,"Available. Released 2021, June",https://fdn2.gsmarena.com/vv/bigpic/blu-j9l.jpg,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer",,BLU J9L,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.0, A2DP","8 MP0.3 MP, (depth)","Blue, Black, Green, Red","1, 2, 3, 4, 5, 7, 12, 17, 28","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,161.6 x 76.9 x 9.7 mm (6.36 x 3.03 x 0.38 in)
eMMC 5.1,13 MP0.3 MP (macro)0.3 MP (depth),"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,About 110 EUR,,Li-Po 4000 mAh,,,1080p@30fps,,,microSDXC,,,,,GSM / HSPA / LTE,"2021, May 22",IPS LCD,Android 11,,,,BLU,,,,,FM radio,Octa-core 1.6 GHz Cortex-A55,720p@30fps,,,200 g (7.05 oz),,Nano-SIM + Nano-SIM,64GB 3GB RAM,8 MP,,"6.5 inches, 102.0 cm2(~80.8% screen-to-body ratio)",Yes,,"Available. Released 2021, May 22",https://fdn2.gsmarena.com/vv/bigpic/blu-g51-plus.jpg,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,BLU G51 Plus,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.1, A2DP, LE",,"Black, Blue, Red, Green","1, 2, 3, 4, 5, 7, 12, 17, 28","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"LED flash, HDR, panorama",165 x 76.5 x 9.3 mm (6.50 x 3.01 x 0.37 in)
eMMC 5.1,,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,About 60 EUR,,Li-Po 4000 mAh,,,1080p@30fps,,,microSDXC,,,,,GSM / HSPA,"2021, May 22",IPS LCD,Android 10 (Go edition),,,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A7,720p@30fps,,,186 g (6.56 oz),,Nano-SIM + Nano-SIM,32GB 1GB RAM,8 MP,,"6.5 inches, 102.0 cm2(~80.8% screen-to-body ratio)",Yes,,"Available. Released 2021, May 22",https://fdn2.gsmarena.com/vv/bigpic/blu-c7.jpg,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer",,BLU C7,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP","8 MP0.3 MP, (depth)","Black, Blue, Green, Red",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,165 x 76.5 x 8.9 mm (6.50 x 3.01 x 0.35 in)
eMMC 5.1,,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)",,,,"Li-Po 3000 mAh, removable",,,1080p@30fps,,PowerVR GE8320,microSDXC,Mediatek MT6761 Helio A22 (12 nm),,,,GSM / HSPA / LTE,"2020, November",IPS LCD,Android 10,8 MP,,,BLU,,,,,FM radio,Octa-core 2.0 GHz Cortex-A53,720p@30fps,,,162 g (5.71 oz),,Nano-SIM,32GB 2GB RAM,13 MP,,"5.5 inches, 78.1 cm2(~71.5% screen-to-body ratio)",Yes,,"Available. Released 2020, November",https://fdn2.gsmarena.com/vv/bigpic/blu-view-2.jpg,USB Type-C 2.0,"Accelerometer, proximity",,BLU View 2,HSDPA 850 / 1700(AWS) / 1900,"HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps",Yes,"4.1, A2DP, LE",,Black,"2, 4, 5, 12, 13, 25, 26, 41, 66, 71","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,"B130DL, B131DL",,GSM 850 / 900 / 1800 / 1900,,LED flash,153.7 x 71 x 9.5 mm (6.05 x 2.80 x 0.37 in)
,,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,About 150 EUR,,Li-Po 5000 mAh,,,1080p@30fps,,,microSDXC (dedicated slot),,,,10W wired,GSM / HSPA / LTE,"2021, February 24",IPS LCD,Android 10,,,,BLU,,,,,FM radio,Octa-core 1.8 GHz Cortex-A53,1080p@30fps,,,196 g (6.91 oz),,Nano-SIM + Nano-SIM,128GB 4GB RAM,16 MP,,"6.5 inches, 102.0 cm2(~82.3% screen-to-body ratio)",Yes,,"Available. Released 2021, February 24",https://fdn2.gsmarena.com/vv/bigpic/blu-g91.jpg,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,BLU G91,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Blue, Green, Twilight","1, 2, 3, 4, 5, 7, 12, 17, 28","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",GPS,No,"16 MP, (wide), AF5 MP, (ultrawide)2 MP, (macro)2 MP, (depth)",,,GSM 850 / 900 / 1800 / 1900,,LED flash,163 x 76 x 9 mm (6.42 x 2.99 x 0.35 in)
eMMC 5.1,"13 MP, (wide), AF5 MP, (ultrawide)2 MP, (depth)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,About 80 EUR,,Li-Po 5000 mAh,,,1080p@30fps,,,microSDXC (dedicated slot),,,,10W wired,GSM / HSPA / LTE,"2021, February 19",IPS LCD,Android 10,,,,BLU,,,,,FM radio,Octa-core 1.8 GHz Cortex-A53,720p@30fps,,,194 g (6.84 oz),,Nano-SIM + Nano-SIM,64GB 3GB RAM,13 MP,,"6.5 inches, 102.0 cm2(~80.7% screen-to-body ratio)",Yes,,"Available. Released 2021, February 19",https://fdn2.gsmarena.com/vv/bigpic/blu-g71.jpg,USB Type-C 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,BLU G71,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps",Yes,"4.0, A2DP",,"Black, Blue, Green, Red","1, 2, 3, 4, 5, 7, 12, 17, 28","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,165 x 76.6 x 8.9 mm (6.50 x 3.02 x 0.35 in)
eMMC 5.1,,"480 x 960 pixels, 18:9 ratio (~179 ppi density)",,About 60 EUR,,Li-Ion 3000 mAh,,,720p@30fps,,,microSDXC,,,,,GSM / HSPA,"2021, February 16",IPS LCD,Android 10 (Go edition),8 MP,,,BLU,,,,,FM radio,Quad-core 1.3 GHz Cortex-A7,720p@30fps,,,189 g (6.67 oz),,Nano-SIM + Nano-SIM,32GB 1GB RAM,8 MP,,"6.0 inches, 92.9 cm2(~74.9% screen-to-body ratio)",Yes,,"Available. Released 2021, February 16",https://fdn2.gsmarena.com/vv/bigpic/blu-studio-x12.jpg,microUSB 2.0,Accelerometer,,BLU Studio X12,HSDPA 850 / 900 / 1900 / 2100,HSPA 21.1/5.76 Mbps,Yes,"4.0, A2DP",,"Black, Blue, Green, Red",,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,LED flash,160 x 77.5 x 9 mm (6.30 x 3.05 x 0.35 in)
eMMC 5.1,,"720 x 1600 pixels, 20:9 ratio (~270 ppi density)",,About 110 EUR,,Li-Po 5000 mAh,,,1080p@30fps,,,microSDXC,,,,10W wired,GSM / HSPA / LTE,"2021, February 09",IPS LCD,Android 10,,,,BLU,,,,,FM radio,Octa-core 1.6 GHz Cortex-A55,720p@30fps,,,196 g (6.91 oz),,Nano-SIM + Nano-SIM,64GB 3GB RAM,8 MP,,"6.5 inches, 102.0 cm2(~81.8% screen-to-body ratio)",Yes,,"Available. Released 2021, February 09",https://fdn2.gsmarena.com/vv/bigpic/blu-g61.jpg,microUSB 2.0,"Fingerprint (rear-mounted), accelerometer, proximity",,BLU G61,HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100,"HSPA, LTE",Yes,"4.1, A2DP, LE","13 MP0.3 MP, (depth)","Black, Blue, Green, Red","1, 2, 3, 4, 5, 7, 12, 17, 28","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",GPS,No,,,,GSM 850 / 900 / 1800 / 1900,,"LED flash, panorama, HDR",164.6 x 75.8 x 9.3 mm (6.48 x 2.98 x 0.37 in)
