,Stand-by,Card slot,Price,Model Name,USB,SAR EU,EDGE,Sensors,SIM,4G bands,Size,_2,Video,Messaging,Games,Infrared port,Technology,Brand,Quad,Dimensions,Weight,Model Image,Positioning,GPRS,Java,Single_1,CPU,GPU,Video_1,Call records,Single,Announced,NFC,Radio,Chipset,Loudspeaker,Features_1,Models,Protection,Status,OS,Type,Internal,Type_1,Bluetooth,3.5mm jack,Colors,Speed,Charging,Dual,Phonebook,Features,Talk time,_1,3G bands,Resolution,2G bands,WLAN
eMMC 5.0,,microSDXC (uses shared SIM slot),,Allview P8 Pro,microUSB 2.0,1.39 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity",Nano-SIM + Nano-SIM,"1, 3, 7, 20, 38","5.5 inches, 83.4 cm2(~72.5% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,153 x 75.2 x 8 mm (6.02 x 2.96 x 0.31 in),186.5 g (6.60 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p8-pro.jpg,GPS,,,8 MP,Quad-core 1.45 GHz Cortex-A53,Mali-T720MP2,,,"13 MP, AF","2018, January",No,FM radio,Mediatek MT6737 (28 nm),Yes,,P8 PRO,,"Available. Released 2018, January",Android 7.0 (Nougat),IPS LCD,16GB 2GB RAM,"Li-Po 3000 mAh, non-removable","4.2, A2DP, LE",Yes,Gold,"HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR, panorama",,,HSDPA 900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
,,microSDXC (uses shared SIM slot),About 450 EUR,Allview X4 Soul Infinity Plus,USB Type-C 2.0,1.65 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Nano-SIM + Nano-SIM,"1, 3, 7, 8, 20, 38","6.0 inches, 92.9 cm2(~77.8% screen-to-body ratio)",,"4K@30fps, 1080p@30fps",,,,GSM / HSPA / LTE,Allview,,158.7 x 75.2 x 8 mm (6.25 x 2.96 x 0.31 in),156 g (5.50 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x4sip.jpg,GPS,,,,Octa-core (4x2.4 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),Mali-T880MP2,1080p@30fps,,13 MP,"2017, September",No,FM radio,Mediatek MT6757 Helio P25 (16 nm),Yes,LED flash,,Corning Gorilla Glass (unspecified version),"Available. Released 2017, September",Android 7.1 (Nougat),IPS LCD,64GB 6GB RAM,"Li-Po 3050 mAh, non-removable","4.0, A2DP, EDR, LE",Yes,Black,"HSPA 21.1/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,"13 MP, 1/3.1"", 1.12µm, PDAF5 MP, f/2.4, (depth)",,"Dual-LED flash, panorama, HDR",,,HSDPA 900 / 2100,"1080 x 2160 pixels, 18:9 ratio (~402 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 a/b/g/n
eMMC 5.0,,microSDXC (uses shared SIM slot),,Allview X4 Soul Infinity L,USB Type-C 2.0,1.89 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity",Nano-SIM + Micro-SIM,"1, 3, 7, 20, 38","5.7 inches, 83.8 cm2(~76.0% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,152 x 72.6 x 8.5 mm (5.98 x 2.86 x 0.33 in),155 g (5.47 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x4sil.jpg,GPS,,,5 MP,Quad-core 1.45 GHz Cortex-A53,Mali-T720MP2,,,"13 MP, AF","2017, September",No,FM radio,Mediatek MT6737 (28 nm),Yes,,,Asahi Dragontrail Glass,"Available. Released 2017, September",Android 7.0 (Nougat),IPS LCD,16GB 2GB RAM,"Li-Po 3000 mAh, non-removable","4.0, A2DP, EDR",Yes,"Night Sky, Mocha Gold","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, panorama, HDR",,,HSDPA 900 / 2100,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",GSM 900 / 1800,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDXC (uses shared SIM slot),,Allview X4 Soul Infinity N,USB Type-C 2.0,1.28 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, gyro, proximity",Nano-SIM + Micro-SIM,"1, 3, 7, 20, 38","5.7 inches, 83.8 cm2(~76.0% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,152 x 72.6 x 8.5 mm (5.98 x 2.86 x 0.33 in),155 g (5.47 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x4sin.jpg,GPS,,,8 MP,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,,,"16 MP, PDAF","2017, September",No,FM radio,Mediatek MT6750T (28 nm),Yes,,,Asahi Dragontrail Glass,"Available. Released 2017, September",Android 7.0 (Nougat),IPS LCD,32GB 4GB RAM,"Li-Po 3000 mAh, non-removable","4.0, A2DP, EDR",Yes,"Night Sky, Mocha Gold, Steel Gray","HSPA21.1/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,,"LED flash, panorama, HDR",,,HSDPA 900 / 2100,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDXC (uses shared SIM slot),,Allview X4 Soul Infinity S,USB Type-C 2.0,1.28 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity",Nano-SIM + Micro-SIM,"1, 3, 7, 20, 38","5.7 inches, 83.8 cm2(~76.0% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,152 x 72.6 x 8.5 mm (5.98 x 2.86 x 0.33 in),155 g (5.47 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x4sis.jpg,GPS,,,8 MP,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,,,"13 MP, PDAF","2017, September",No,FM radio,Mediatek MT6750T (28 nm),Yes,,,Asahi Dragontrail Glass,"Available. Released 2017, September",Android 7.0 (Nougat),IPS LCD,16GB 3GB RAM,"Li-Po 3000 mAh, non-removable","4.0, A2DP, EDR",Yes,"Night Sky, Mocha Gold, Steel Gray","HSPA21.1/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,,"LED flash, panorama, HDR",,,HSDPA 900 / 2100,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",GSM 900 / 1800,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDXC (uses shared SIM slot),,Allview X4 Soul Infinity Z,USB Type-C 2.0,1.28 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Nano-SIM + Micro-SIM,"1, 8, 38","5.7 inches, 83.8 cm2(~76.0% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,152 x 72.6 x 8.5 mm (5.98 x 2.86 x 0.33 in),155 g (5.47 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x4siz.jpg,GPS,,,,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,,,8 MP,"2017, September",No,FM radio,Mediatek MT6750T (28 nm),Yes,,,,"Available. Released 2017, September",Android 7.0 (Nougat),IPS LCD,32GB 4GB RAM,"Li-Po 3000 mAh, non-removable","4.0, A2DP, EDR",Yes,"Night Sky, Mocha Gold, Steel Gray","HSPA 21.1/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,"13 MP, PDAF5 MP, f/2.4, (depth)",,"LED flash, panorama, HDR",,,HSDPA 900 / 2100,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",GSM 900 / 1800,Wi-Fi 802.11 b/g/n
eMMC 5.1,,microSDXC (uses shared SIM slot),,Allview X4 Soul Vision,microUSB 2.0,0.76 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Nano-SIM + Micro-SIM,"1, 3, 7, 20, 38","5.5 inches, 83.4 cm2(~72.0% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,153.1 x 75.6 x 10.3 mm (6.03 x 2.98 x 0.41 in),202 g (7.13 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x4sv.jpg,GPS,,,8 MP,Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,,,"13 MP, 1/3.1"", 1.12µm, PDAF","2017, September",No,FM radio,Mediatek MT6750 (28 nm),Yes,,,,"Available. Released 2017, September",Android 7.0 (Nougat),IPS LCD,32GB 3GB RAM,"Li-Po 4000 mAh, non-removable","4.0, A2DP, EDR, LE",Yes,Dark Blue,"HSPA 21.1/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,,,"LED flash, HDR",,Laser projector,HSDPA 900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",GSM 850 / 900 / 1800 / 1900,Wi-Fi 802.11 a/b/g/n
eMMC 5.0,,microSDXC (uses shared SIM slot),About 220 EUR,Allview V3 Viper,microUSB 2.0,1.26 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Nano-SIM + Micro-SIM,"1, 3, 5, 8, 20, 38, 39, 40","5.5 inches, 78.1 cm2(~73.3% screen-to-body ratio)",,1080p@30fps,,,Yes,GSM / HSPA / LTE,Allview,,148.3 x 71.8 x 8.1 mm (5.84 x 2.83 x 0.32 in),143.6 g (5.08 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-v3v.jpg,GPS,,,13 MP,Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,,,"13 MP, AF","2018, January",No,FM radio,Mediatek MT6737 (28 nm),Yes,LED flash,,Corning Gorilla Glass 3,"Available. Released 2018, February",Android 8.0 (Oreo),IPS LCD,32GB 3GB RAM,"Li-Po 3000 mAh, non-removable","4.2, A2DP, LE",Yes,"Black, Silver, Gold","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",,,HSDPA 850 / 900 / 1900 / 2100,"720 x 1440 pixels, 18:9 ratio (~293 ppi density)",GSM 850 / 900 / 1800 / 1900,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct"
eMMC 5.0,Up to 312 h (3G),microSDXC (uses shared SIM slot),About 150 EUR,Allview X4 Soul Mini S,microUSB 2.0,1.48 W/kg (head),,"Fingerprint (rear-mounted), accelerometer, proximity",Nano-SIM + Nano-SIM,"1, 3, 7, 20, 38","5.0 inches, 68.9 cm2(~67.4% screen-to-body ratio)",,720p@30fps,,,,GSM / HSPA / LTE,Allview,,142 x 72 x 8.4 mm (5.59 x 2.83 x 0.33 in),145 g (5.11 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x4-soul-mini-s.jpg,GPS,,,8 MP,Quad-core 1.25 GHz Cortex-A53,Mali-T720MP2,,,"8 MP, AF","2017, June. Released 2017, June",No,FM radio,Mediatek MT6737 (28 nm),Yes,,X4_Soul_Mini_S_TM,Scratch-resistant glass,Discontinued,Android 7.0 (Nougat),IPS LCD,16GB 1GB RAM,"Li-Po 2500 mAh, non-removable","4.0, A2DP, EDR",Yes,"Black, Gold, Blue","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR",Up to 15 h (3G),,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~294 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
,Up to 379 h,microSDXC (uses shared SIM slot),,Allview X4 Xtreme,microUSB 2.0,1.01 W/kg (head),,"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Nano-SIM + Micro-SIM,LTE,"6.0 inches, 99.2 cm2(~71.6% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,166.4 x 83.3 x 9.1 mm (6.55 x 3.28 x 0.36 in),226.9 g (8.01 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-x4-xtreme.jpg,GPS,,,,Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),Mali-T880MP2,,,"20 MP, f/2.0, (wide)","2017, June. Released 2017, June",No,FM radio,Mediatek MT6757T Helio P25 (16 nm),Yes,,,Corning Gorilla Glass 3,Discontinued,Android 7.0 (Nougat),IPS LCD,64GB 4GB RAM,"Li-Po 4550 mAh, non-removable","4.0, A2DP, EDR",Yes,Mocha Gold,"HSPA 21.1/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",,"13 MP, PDAF5 MP, f/2.4, (depth)",,"LED flash, HDR, panorama",Up to 25 h,,HSDPA 850 / 900 / 1900 / 2100,"1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 a/b/g/n
,Up to 286 h,microSDXC (uses shared SIM slot),,Allview P9 Energy Lite (2017),microUSB 2.0,0.72 W/kg (head),,"Fingerprint (front-mounted), accelerometer, proximity",Nano-SIM + Micro-SIM,"1, 3, 7, 20, 38","5.2 inches, 74.5 cm2(~69.2% screen-to-body ratio)",,1080p@30fps,,,,GSM / HSPA / LTE,Allview,,148.7 x 72.4 x 9.1 mm (5.85 x 2.85 x 0.36 in),161 g (5.68 oz),https://fdn2.gsmarena.com/vv/bigpic/allview-p9-energy-lite-2017.jpg,GPS,,,8 MP,Octa-core 1.3 GHz Cortex-A53,Mali-T720,,,"13 MP, AF","2017, June. Released 2017, June",No,FM radio,Mediatek MT6753 (28 nm),Yes,,,,Discontinued,Android 7.0 (Nougat),IPS LCD,32GB 3GB RAM,"Li-Po 4000 mAh, non-removable","4.0, A2DP, EDR",Yes,"Black, Gold","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps",,,,"LED flash, HDR, panorama",Up to 16 h,,HSDPA 900 / 2100,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,Wi-Fi 802.11 b/g/n
