,Positioning,Dual,Java,Build,3G bands,OS,CPU,GPU,Loudspeaker_1,Quad,Audio quality,Single,Dimensions,_2,Stand-by,Colors,Speed,USB,WLAN,Call records,Models,Video_1,Single_1,Status,Camera,Size,Infrared port,_4,2G bands,Features,Technology,Messaging,Keyboard,GPRS,Model Image,Type_1,SIM,Dual_1,SAR EU,Sensors,Loudspeaker,SAR,Talk time,Bluetooth,_1,Video,Battery (old),Resolution,Radio,Chipset,5G bands,Display,Protection,Triple,Phonebook,Weight,EDGE,Charging,Features_1,Card slot,NFC,3.5mm jack,Model Name,_3,Internal,Price,Announced,Games,Type,4G bands,Performance,Brand
CDMA 800 & TD-SCDMA,GPS,,,"Glass front (Gorilla Glass), glass back, aluminum frame",HSDPA 850 / 900 / 1900 / 2100,"Android 9.0 (Pie), ZUI 10",Octa-core 2.2 GHz Kryo 260,Adreno 616,,,,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm",156.7 x 74.5 x 7.9 mm (6.17 x 2.93 x 0.31 in),,,"Starry Night Grey, Love Orange, Titanium Blue","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps",USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,L78071,1080p@30fps,,"Available. Released 2018, December 24",,"6.3 inches, 97.4 cm2(~83.5% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, HDR, panorama",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-z5s.jpg,"Li-Ion 3300 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Yes,,,"5.0, A2DP, LE",,"4K@30fps, 1080p@30fps",,"1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density)",FM radio,Qualcomm SDM710 Snapdragon 710 (10 nm),,,Corning Gorilla Glass (unspecified version),"16 MP, f/1.8, 26mm (wide), PDAF8 MP, f/2.4, (telephoto), PDAF, 2x optical zoom5 MP, f/2.4, (depth)",,172 g (6.07 oz),,15W wired,HDR,microSDXC (uses shared SIM slot),No,Yes,Lenovo Z5s,,"64GB 4GB RAM, 128GB 6GB RAM",About 220 EUR,"2018, December 18",,IPS LCD,"1, 2, 3, 5, 7, 8, 20, 34, 38, 39, 40, 41",,Lenovo
CDMA 800 & TD-SCDMA,"GPS, GLONASS, BDS","16 MP, f/1.8, 1/2.6"", 1.22µm, PDAF24 MP, 1/2.8"", 0.9µm",,,HSDPA 850 / 900 / 1900 / 2100,"Android 8.1 (Oreo), upgradable to Android 10, ZUI 11.5",Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,,,,,155.1 x 73 x 9.3 mm (6.11 x 2.87 x 0.37 in),,,Carbon Black,"Yes, 384 kbps","USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,L78032,1080p@30fps,,"Available. Released 2019, January",,"6.39 inches, 100.2 cm2(~88.5% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, panorama, HDR",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-z5-pro-gt-.jpg,"Li-Po 3350 mAh, non-removable",Nano-SIM + Nano-SIM,"Manual pop-up 16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µmManual pop-up 8 MP",,"Infrared Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Yes,,,"5.0, A2DP, LE, EDR",UFS 2.1,"4K@30fps, 1080p@120fps",,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",No,Qualcomm SM8150 Snapdragon 855 (7 nm),,,,,,210 g (7.41 oz),,18W wired,HDR,No,Yes,No,Lenovo Z5 Pro GT,,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 12GB RAM",About 400 EUR,"2018, December",,Super AMOLED,"1, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41",,Lenovo
CDMA 800 & TD-SCDMA,"GPS, GLONASS, BDS","16 MP, f/1.8, 1/2.6"", 1.22µm, PDAF24 MP, 1/2.8"", 0.9µm",,,HSDPA 850 / 900 / 1900 / 2100,"Android 8.1 (Oreo), ZUI 10",Octa-core (2x2.2 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,,,,,155.1 x 73 x 9.3 mm (6.11 x 2.87 x 0.37 in),,,Black,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat6 300/50 Mbps","USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,L78031,1080p@30fps,,"Available. Released 2018, November",,"6.39 inches, 100.2 cm2(~88.5% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, panorama, HDR",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-z5-pro.jpg,"Li-Po 3350 mAh, non-removable",Nano-SIM + Nano-SIM,"Manual pop-up 16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µmManual pop-up 8 MP",,"Infrared Face ID, fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Yes,,,"5.0, A2DP, LE, EDR",eMMC 5.1,"4K@30fps, 1080p@120fps",,"1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density)",No,Qualcomm SDM710 Snapdragon 710 (10 nm),,,,,,210 g (7.41 oz),,18W wired,HDR,No,Yes,No,Lenovo Z5 Pro,,"64GB 6GB RAM, 128GB 6GB RAM",About 300 EUR,"2018, November",,Super AMOLED,"1, 3, 4, 5, 7, 8, 34, 38, 39, 40, 41",,Lenovo
CDMA 800 & TD-SCDMA,GPS,"12 MP, f/1.8, 1/2.9"", 1.25µm, PDAF20 MP, f/2.6, 2x optical zoom",,,HSDPA 850 / 900 / 1900 / 2100,"Android 8.1 (Oreo), ZUI 5",Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,,,,,154.5 x 75.5 x 7.7 mm (6.08 x 2.97 x 0.30 in),,,"Black, Gold, Blue","HSPA, LTE",USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,L58041,1080p@30fps,,"Available. Released 2018, October",,"6.2 inches, 96.9 cm2(~83.0% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, HDR, panorama",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-s5-pro.jpg,"Li-Ion 3500 mAh, non-removable",Nano-SIM + Nano-SIM,"20 MP, f/2.2, (wide), 1/2.8"", 1.0µm8 MP",,"Infrared Face ID, fingerprint (rear-mounted), accelerometer, proximity, compass","Yes, with stereo speakers",,,"5.0, A2DP, LE",eMMC 5.1,"4K@30fps, 1080p@30fps",,"1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)",FM radio,Qualcomm SDM636 Snapdragon 636 (14 nm),,,,,,170 g (6.00 oz),,18W wired,HDR,microSDXC (uses shared SIM slot),No,Yes,Lenovo S5 Pro,,"64GB 6GB RAM, 128GB 6GB RAM",About 200 EUR,"2018, October",,IPS LCD,"1, 2, 3, 5, 7, 8, 20, 34, 38, 39, 40, 41",,Lenovo
CDMA 800 & TD-SCDMA,GPS,"16 MP, f/2.0, PDAF5 MP, f/2.4, (depth)",,,HSDPA 850 / 900 / 1900 / 2100,Android 8.1 (Oreo),Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,,,,,156 x 75 x 8 mm (6.14 x 2.95 x 0.31 in),,,"Black, Gold","HSPA, LTE","USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,L38041,1080p@30fps,,"Available. Released 2018, October",,"5.99 inches, 92.6 cm2(~79.1% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, HDR, panorama",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k5-pro.jpg,"Li-Ion 4050 mAh, non-removable",Nano-SIM + Nano-SIM,"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm5 MP, depth sensor",,"Fingerprint (rear-mounted), accelerometer, proximity, compass","Yes, with stereo speakers",,,"5.0, A2DP, LE",eMMC 5.1,"4K@30fps, 1080p@30fps",,"1080 x 2160 pixels, 18:9 ratio (~403 ppi density)",FM radio,Qualcomm SDM636 Snapdragon 636 (14 nm),,,,,,165 g (5.82 oz),,18W wired,"LED flash, HDR",microSDXC (dedicated slot),No,Yes,Lenovo K5 Pro,,"64GB 4GB RAM, 64GB 6GB RAM, 128GB 6GB RAM",About 150 EUR,"2018, October",,IPS LCD,"1, 2, 3, 5, 7, 8, 20, 34, 38, 39, 40, 41",,Lenovo
eMMC 5.1,GPS,"13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF5 MP, f/2.4, (depth)",,"Glass front, plastic back, plastic frame",HSDPA 850 / 900 / 1900 / 2100,Android 8.1 (Oreo),Octa-core 2.0 GHz Cortex-A53,PowerVR GE8320,,,,,153.8 x 72.9 x 8 mm (6.06 x 2.87 x 0.31 in),,,"Black, Blue","HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps","USB Type-C 2.0, OTG","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,L38043,1080p@30/60fps,,"Available. Released 2018, October",,"5.7 inches, 83.8 cm2(~74.8% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k9.jpg,"Li-Ion 3000 mAh, non-removable",Nano-SIM + Nano-SIM,"13 MP, f/2.2, (wide), 1/3.1"", PDAF5 MP, f/2.4, 1/5.0"", 1.12µm, depth sensor",,"Fingerprint (rear-mounted), accelerometer, proximity",Yes,,,"4.1, A2DP, LE",,1080p@30/60fps,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)","FM radio, RDS, recording",Mediatek MT6762 Helio P22 (12 nm),,,,,,155 g (5.47 oz),,10W wired,LED flash,microSDXC (uses shared SIM slot),No,Yes,Lenovo K9,,32GB 3GB RAM,About 130 EUR,"2018, October",,IPS LCD,"1, 3, 5, 7, 8, 20, 38, 40, 41",,Lenovo
CDMA 800 & TD-SCDMA,GPS,"16 MP, f/2.0, PDAF8 MP",,"Glass front (Gorilla Glass 3), glass back, aluminum frame",HSDPA 850 / 900 / 1900 / 2100,"Android 8.1 (Oreo), ZUI 3.9",Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,,,,"8 MP, f/2.0",153 x 75.7 x 7.9 mm (6.02 x 2.98 x 0.31 in),,,"Black, Aurora, Blue","HSPA, LTE",USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,L78011,1080p@30fps,,"Available. Released 2018, June",,"6.2 inches, 96.9 cm2(~83.6% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, HDR, panorama",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-z5.jpg,"Li-Ion 3300 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Yes,,,"5.0, A2DP, LE",eMMC 5.1,"4K@30fps, 1080p@30fps",,"1080 x 2246 pixels, 18.7:9 ratio (~402 ppi density)",FM radio,Qualcomm SDM636 Snapdragon 636 (14 nm),,,Corning Gorilla Glass 3,,,165 g (5.82 oz),,15W wired,,microSDXC (uses shared SIM slot),No,Yes,Lenovo Z5,,"64GB 6GB RAM, 128GB 6GB RAM",About 200 EUR,"2018, June",,IPS LCD,"1, 2, 3, 5, 7, 8, 34, 38, 39, 40, 41",,Lenovo
eMMC 5.1,GPS,"16 MP, f/2.0, PDAF2 MP, f/2.4, (depth)",,,HSDPA 850 / 900 / 1900 / 2100,"Android 8.0 (Oreo), ZUI 3.9",Octa-core 1.8 GHz Cortex-A53,Adreno 506,,,,"8 MP, f/2.0",158.3 x 76.7 x 8.5 mm (6.23 x 3.02 x 0.33 in),,,"Black, Gold, Blue","HSPA, LTE",microUSB 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,L38012,,,"Available. Released 2018, June",,"6.0 inches, 92.9 cm2(~76.5% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"LED flash, panorama, HDR",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k5-note-2018-.jpg,"Li-Ion 3760 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Yes,,,"4.2, A2DP, LE",,1080p@30fps,,"720 x 1440 pixels, 18:9 ratio (~268 ppi density)",FM radio,Qualcomm SDM450 Snapdragon 450 (14 nm),,,,,,176 g (6.21 oz),,,,microSDXC,No,Yes,Lenovo K5 Note (2018),,"32GB 3GB RAM, 64GB 4GB RAM",About 150 EUR,"2018, June",,IPS LCD,"1, 3, 5, 7, 8, 20",,Lenovo
eMMC 5.1,GPS,,,,HSDPA 850 / 900 / 1900 / 2100,"Android 8.0 (Oreo), ZUI 3.9",Quad-core 1.5 GHz Cortex-A53,PowerVR GE8100,,,,"13 MP, f/2.2, 1/3.1"", 1.12µm, PDAF",146.2 x 70.9 x 9.8 mm (5.76 x 2.79 x 0.39 in),,,"Black, Gold, Rose Gold","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct",,"L18021, L18081, L18011",,"8 MP, f/2.2, 1.12µm","Available. Released 2018, June",,"5.45 inches, 76.7 cm2(~73.9% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"LED flash, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-a5-.jpg,"Li-Ion 4000 mAh, non-removable",Dual SIM,,,"Fingerprint (rear-mounted), accelerometer, proximity",Yes,,,"4.2, A2DP, LE",,1080p@30/60fps,,"720 x 1440 pixels, 18:9 ratio (~295 ppi density)",FM radio,Mediatek MT6739 (28 nm),,,,,,160 g (5.64 oz),,10W wired,,microSDXC (dedicated slot),No,Yes,Lenovo A5,,"16GB 3GB RAM, 16GB 2GB RAM, 32GB 3GB RAM",About 120 EUR,"2018, June",,IPS LCD,"1, 3, 5, 7, 8, 20, 38, 40, 41",,Lenovo
CDMA 800 & TD-SCDMA,GPS,"13 MP, f/2.2, AF2 MP, f/2.4, (depth)",,,HSDPA 850 / 900 / 1900 / 2100,"Android 8.0 (Oreo), ZUI 3.7",Octa-core 1.4 GHz Cortex-A53,Adreno 505,,,,"8 MP, f/2.0",153.8 x 72.6 x 7.9 mm (6.06 x 2.86 x 0.31 in),,,"Black, Gray, Blue","HSPA, LTE",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",,L38011,,,"Available. Released 2018, April",,"5.7 inches, 83.8 cm2(~75.1% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k5-play.jpg,"Li-Ion 3000 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Yes,,,"4.2, A2DP, LE",eMMC 5.1,1080p@30fps,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",FM radio,Qualcomm MSM8937 Snapdragon 430 (28 nm),,,,,,155 g (5.47 oz),,,,microSDXC (uses shared SIM slot),No,Yes,Lenovo K5 play,,"16GB 2GB RAM, 32GB 3GB RAM",About 110 EUR,"2018, March",,IPS LCD,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41",,Lenovo
CDMA 800 & TD-SCDMA,GPS,"13 MP, f/2.0, AF5 MP, f/2.2, (depth)",,,HSDPA 850 / 900 / 1900 / 2100,"Android 7.1 (Nougat), ZUI Lite 3.1",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mali-T860MP2,,,,"8 MP, f/2.0",153.8 x 72.7 x 7.8 mm (6.06 x 2.86 x 0.31 in),,,"Black, Gray, Blue","HSPA, LTE",microUSB 2.0,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",,K350t,,,"Available. Released 2018, April",,"5.7 inches, 83.8 cm2(~75.0% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"LED flash, HDR, panorama",GSM / CDMA / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k5-new.jpg,"Li-Ion 3000 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Yes,,,"4.0, A2DP, LE",eMMC 5.1,720p@30fps,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",FM radio,Mediatek MT6750V/CB,,,,,,160 g (5.64 oz),,,,microSDXC (uses shared SIM slot),No,Yes,Lenovo K5,,32GB 3GB RAM,About 130 EUR,"2018, March",,IPS LCD,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41",,Lenovo
eMMC 5.1,"GPS, GLONASS",,,"Glass front, aluminum back, aluminum frame",HSDPA 850 / 900 / 1900 / 2100,"Android 8.0 (Oreo), ZUI 3.7",Octa-core 2.0 GHz Cortex-A53,Adreno 506,,,,"13 MP, f/2.2, PDAF13 MP B/W",154 x 73.5 x 7.8 mm (6.06 x 2.89 x 0.31 in),,,"Midnight Black, Flame Red","HSPA 42.2/5.76 Mbps, LTE (2CA) Cat7 300/100 Mbps","USB Type-C 2.0, OTG","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct",,K520,1080p@30fps,"16 MP, f/2.2, 26mm (wide), 1/3.06"", 1.0µm","Available. Released 2018, March",,"5.7 inches, 83.8 cm2(~74.1% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,"Dual-LED dual-tone flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-s5-.jpg,"Li-Po 3000 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, proximity, compass",Yes,,,"4.2, A2DP, LE",,"4K@30fps, 1080p@30fps",,"1080 x 2160 pixels, 18:9 ratio (~424 ppi density)",FM radio,Qualcomm MSM8953 Snapdragon 625 (14 nm),,,,,,155 g (5.47 oz),,,,microSDXC (uses shared SIM slot),No,Yes,Lenovo S5,,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",About 150 EUR,"2018, March",,IPS LCD,"1, 3, 5, 7, 8, 34, 38, 39, 40, 41",,Lenovo
,GPS,"8 MP, f/2.0, AF2 MP, f/2.2, (depth)",,,HSDPA 850 / 900 / 1900 / 2100,Android 7.0 (Nougat),Quad-core 1.3 GHz Cortex-A7,Mali-400,,,,"8 MP, f/2.2",155.2 x 73.5 x 8.5 mm (6.11 x 2.89 x 0.33 in),,,Black,"HSPA 42.2/5.76 Mbps, LTE (2CA) Cat7 300/100 Mbps","microUSB 2.0, OTG","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,K320t,,,"Available. Released 2018, January",,"5.7 inches, 83.8 cm2(~73.5% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,LED flash,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k320t.jpg,"Li-Ion 3000 mAh, non-removable","Dual SIM (Micro-SIM, dual stand-by)",,,"Fingerprint (rear-mounted), accelerometer, proximity",Yes,,,"4.2, A2DP, LE",,1080p@30fps,,"720 x 1440 pixels, 18:9 ratio (~282 ppi density)",FM radio,Spreadtrum,,,,,,153.8 g (5.43 oz),,,,microSDXC,No,Yes,Lenovo K320t,,"16GB 2GB RAM, 32GB 3GB RAM",About 150 EUR,"2017, December",,IPS LCD,LTE,,Lenovo
eMMC 5.1,GPS,,,,HSDPA 850 / 1900 / 2100,Android 7.0 (Nougat),Octa-core 2.0 GHz Cortex-A53,Adreno 506,,,,"8 MP, AF",247 x 175 x 7.6 mm (9.72 x 6.89 x 0.30 in),,,Aurora Black,"HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",USB Type-C 2.0,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct",,,,5 MP,"Available. Released 2017, November",,"10.1 inches, 295.8 cm2(~68.4% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,LED flash,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-moto-tab.jpg,"Li-Ion 7000 mAh, non-removable",Nano-SIM,,,"Fingerprint (front-mounted), accelerometer, proximity","Yes, dual speakers",,,"4.2, A2DP, LE",,1080p@30fps,,"1200 x 1920 pixels, 16:10 ratio (~224 ppi density)",FM radio,Qualcomm MSM8953 Snapdragon 625 (14 nm),,,,,,500 g (1.10 lb),,,,microSDXC (dedicated slot),No,Yes,Lenovo moto tab,,32GB 2GB RAM,About 230 EUR,"2017, November",,IPS LCD,"1, 2, 3, 4, 5, 7, 12, 20, 29, 30",,Lenovo
"1, 3, 34, 38, 39, 40, 41 - Asia",GPS - cellular model only,,,"Glass front, plastic frame, plastic back",HSDPA 850 / 900 / 1900 / 2100,Android 7.0 (Nougat),"Quad-core 1.3 GHz Cortex-A35 (Wi-Fi), Quad-core 1.1 GHz Cortex-A53 (LTE)","PowerVR GE8300 (Wi-Fi), Mali-T720MP2 (LTE)",,,,2 MP,194.8 x 102 x 8.8 mm (7.67 x 4.02 x 0.35 in),,,"Black, Silver","HSPA, LTE - cellular model only",microUSB 2.0,Wi-Fi 802.11 a/g/n,,"TB-7304I, TB-7304X, TB-7304F",,2 MP,"Available. Released 2017, November",,"7.0 inches, 137.9 cm2(~69.4% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900,,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-7-essential.jpg,"Li-Po 3450 mAh, non-removable",Nano-SIM (cellular model only),,,Accelerometer,Yes,,,"4.0 or 4.1 (LTE version), A2DP",eMMC or eMCP (LTE version),Yes,,"600 x 1024 pixels, 16:9 ratio (~170 ppi density)",No,"Mediatek MT8167D (Wi-Fi), Mediatek MT8735D (LTE)",,,,,,254 g (8.96 oz),,,,microSD,No,Yes,Lenovo Tab 7 Essential,,"8GB 2GB RAM, 16GB 1GB RAM, 16GB 2GB RAM",About 80 EUR,"2017, November",,"IPS LCD, 300 nits (typ)","1, 3, 7, 8, 20 - Global",,Lenovo
,GPS - cellular model only,,,,HSDPA 2100,Android 7.0 (Nougat),Quad-core 1.3 GHz Cortex-A53,Mali-T720MP2,,,,"5 MP, AF",193 x 98.7 x 8.4 mm (7.60 x 3.89 x 0.33 in),,,"Slate Black, White","HSPA, LTE - cellular model only",microUSB 2.0,Wi-Fi 802.11 b/g/n,,"TB-7504X, TB-7504F, TB-7504N",,2 MP,"Available. Released 2017, November",,"7.0 inches, 135.1 cm2(~70.9% screen-to-body ratio)",,,GSM 900,,GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-7-.jpg,"Li-Po 3500 mAh, non-removable",Nano-SIM (cellular model only),,,Accelerometer,Yes,,,"4.0, A2DP",,Yes,,"720 x 1280 pixels, 16:9 ratio (~210 ppi density)",No,Mediatek MT8161 (28 nm),,,,,,260 g (9.17 oz),,,,No,No,Yes,Lenovo Tab 7,,"16GB 1GB RAM, 16GB 2GB RAM",About 100 EUR,"2017, November",,IPS LCD,LTE,,Lenovo
,GPS,"13 MP, f/2.0, PDAF5 MP, f/2.4, (depth)",,"Glass front (Gorilla Glass 3), aluminum back, aluminum frame",HSDPA 850 / 900 / 2100,"Android 7.1.1 (Nougat), upgradable to Android 8.0 (Oreo)",Octa-core (4x2.5 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),Mali-T880MP2,,,,8 MP,147.9 x 73.7 x 9 mm (5.82 x 2.90 x 0.35 in),,Up to 401 h (3G),"Fine Gold, Venom Black","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","microUSB 2.0, OTG","Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,K8 Plus,1080p@30fps,,"Available. Released 2017, September",,"5.2 inches, 74.5 cm2(~68.4% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"Dual-LED dual-tone flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k8-plus.jpg,"Li-Po 4000 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Yes,,Up to 26 h (3G),"4.2, A2DP, LE",,1080p@30fps,,"1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",FM radio,Mediatek MT6757 Helio P25 (16 nm),,,Corning Gorilla Glass 3,,,165 g (5.82 oz),,,,microSDXC (dedicated slot),No,Yes,Lenovo K8 Plus,,"32GB 3GB RAM, 32GB 4GB RAM",About 200 EUR,"2017, September",,IPS LCD,"1, 3, 5, 7, 8, 40",,Lenovo
,GPS,,,,HSDPA 850 / 900 / 2100,"Android 7.1.1 (Nougat), upgradable to Android 8.0 (Oreo)",Octa-core (4x2.35 GHz Cortex-A53 & 4x1.65 GHz Cortex-A53),Mali-T880MP2,,,,"13 MP, PDAF",147.9 x 73.7 x 8.6 mm (5.82 x 2.90 x 0.34 in),,Up to 456 h (3G),"Black, White/Gold","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps",microUSB 2.0,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct",,K8,,8 MP,"Available. Released 2017, October",,"5.2 inches, 74.5 cm2(~68.4% screen-to-body ratio)",,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,"LED flash, HDR, panorama",GSM / HSPA / LTE,,,,https://fdn2.gsmarena.com/vv/bigpic/lenovo-k8.jpg,"Li-Po 4000 mAh, non-removable",Nano-SIM + Nano-SIM,,,"Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Yes,,Up to 32 h (3G),"4.2, A2DP, LE",,1080p@30fps,,"720 x 1280 pixels, 16:9 ratio (~282 ppi density)",FM radio,Mediatek MT6757 Helio P20 (16 nm),,,,,,165 g (5.82 oz),,,LED,microSDXC (dedicated slot),No,Yes,Lenovo K8,,32GB 3GB RAM,About 170 EUR,"2017, September",,IPS LCD,"1, 3, 5, 7, 8, 40",,Lenovo
